LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
ABS-UF	Evapotranspiration	height	loss of water	cm	Event	2018	Present		excel files				
ABS-UF	Evapotranspiration	weight	loss of water	g	Event	2018	Present		excel files				
ABS-UF	Forage	aboveground biomass		kg/ha	Event	2007	Present		excel files				
ABS-UF	Forage	aboveground tissue C		g/kg	Event	2007	Present		excel files				
ABS-UF	Forage	aboveground tissue N		g/kg	Event	2007	Present		excel files				
ABS-UF	Forage	aboveground tissue P		g/kg	Event	2007	Present		excel files				
ABS-UF	Forage	belowground biomass		kg/ha	Event	2010-2011; 2017	Present		excel files				
ABS-UF	Forage	belowground tissue lignin		g/kg	Event	2010-2011; 2017	Present		excel files				
ABS-UF	Forage	belowground tissue N		g/kg	Event	2010-2011; 2017	Present		excel files				
ABS-UF	Forage	biomass	"pre-burn, post-burn, post-stocking"	"g/m2, g/cm2"	Event	2015	Present		"excel files, access db"				
ABS-UF	Forage	Ca	"wetlands, embedded wetlands in pastures, variable stocking rate"	%	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	CP(DM)	"pre-burn, post-burn, post-stocking, embedded wetlands"	%	Event; yearly; once in 2 years	2006	Present		"excel files, access db"				
ABS-UF	Forage	crude protein	"variable stocking rate, biomass"	%	monthly	1999	2003		excel files				
ABS-UF	Forage	crude protein		g/kg	Event	2007	Present		excel files				
ABS-UF	Forage	Cu	"wetlands, embedded wetlands in pastures, variable stocking rate"	ppm	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	digestibility		g/kg	Event	2007	Present		excel files				
ABS-UF	Forage	DM	"pre-burn, post-burn, post-stocking"	%	Event	2010	Present		"excel files, access db"				
ABS-UF	Forage	Fe	"wetlands, embedded wetlands in pastures, variable stocking rate"	ppm	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	fiber	"wetlands, embedded wetlands in pastures, variable stocking rate"	%	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	height	"pre-burn, post-burn, post-stocking"	cm	Event	2016	Present		"excel files, access db"				
ABS-UF	Forage	Horse DE	"wetlands, embedded wetlands in pastures, variable stocking rate, horse digestible energy"	Mcal/lb	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	horse tdn	"wetlands, embedded wetlands in pastures, variable stocking rate, total digestible nutrients"	%	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	IVOMD	"pre-burn, post-burn, post-stocking"	%	Event	2010	Present		"excel files, access db"				
ABS-UF	Forage	ivomd	"variable stocking rate, biomass"	%	monthly	1999	2003		excel files				
ABS-UF	Forage	ivtd [48h]	"wetlands, embedded wetlands in pastures, variable stocking rate, in vitro digestibility of forage"	%	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	K	"wetlands, embedded wetlands in pastures, variable stocking rate"	%	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	lignin		g/kg	Event	2007	Present		excel files				
ABS-UF	Forage	Mb	"wetlands, embedded wetlands in pastures, variable stocking rate"	ppm	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	Mg	"wetlands, embedded wetlands in pastures, variable stocking rate"	%	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	Mn	"wetlands, embedded wetlands in pastures, variable stocking rate"	ppm	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	moisture	"wetlands, embedded wetlands in pastures, variable stocking rate"	%	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	N(DM)	"pre-burn, post-burn, post-stocking"	%	Event	2010	Present		"excel files, access db"				
ABS-UF	Forage	Na	"wetlands, embedded wetlands in pastures, variable stocking rate"	%	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	ndfd [48h]	"wetlands, embedded wetlands in pastures, variable stocking rate, neutral detergent fiber digestibility"	%	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	NEG	"wetlands, embedded wetlands in pastures, variable stocking rate, net energy for tissue gain"	Mcal/lb	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	NEL	"wetlands, embedded wetlands in pastures, variable stocking rate, net energy for lactation"	Mcal/lb	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	NEM	"wetlands, embedded wetlands in pastures, variable stocking rate, net energy for maintenance"	Mcal/lb	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	nfc	"wetlands, embedded wetlands in pastures, variable stocking rate, non-fibrous carbohydrates"	%	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	OM(DM)	"pre-burn, post-burn, post-stocking"	%	Event	2010	Present		"excel files, access db"				
ABS-UF	Forage	P	"wetlands, embedded wetlands in pastures, variable stocking rate"	%	yearly; once in 2 years	2006	Present		excel files				
ABS-UF	Forage	P(DM)	"pre-burn, post-burn, post-stocking"	%	Event	2016	Present		"excel files, access db"				
ABS-UF	Forage	phos	"variable stocking rate, biomass"	%	monthly	1999	2003		excel files				
