LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
CMRB	Water Quality	nitrate-N		mg/l	Event / weekly	1992-2005	Present	"Baffaut, Lerch"	"Local, STEWARDS"			"Goodwater creek, Centralia plots, ASP, BAU, Youngs creek, Upper Long Branch, Lower Long Branch"	
CMRB	Water Quality	nitrite-N		mg/l	Event / weekly	1992-2005	Present	"Baffaut, Lerch"	"Local, STEWARDS"			"Goodwater creek, Centralia plots, ASP, BAU, Youngs creek, Upper Long Branch, Lower Long Branch"	
CMRB	Water Quality	ammonium-N		mg/l	Event / weekly	1992-2005	Present	"Baffaut, Lerch"	"Local, STEWARDS"			"Goodwater creek, Centralia plots, ASP, BAU, Youngs creek, Upper Long Branch, Lower Long Branch"	
CMRB	Water Quality	phosphate (soluble P)		mg/l	Event / weekly	1992-2005	Present	"Baffaut, Lerch"	"Local, STEWARDS"			"Goodwater creek, Centralia plots, ASP, BAU, Youngs creek, Upper Long Branch, Lower Long Branch"	
CMRB	Water Quality	Total suspended sediment		mg/l	Event / weekly	1992-2005	Present	"Baffaut, Lerch"	"Local, STEWARDS"			"Goodwater creek, Centralia plots, ASP, BAU, Youngs creek, Upper Long Branch, Lower Long Branch"	
CMRB	Water Quality	Total N		mg/l	Event / weekly	2005-2016	Present	"Baffaut, Lerch"	"Local, STEWARDS"			"Goodwater creek, Centralia plots, ASP, BAU, Youngs creek, Upper Long Branch, Lower Long Branch"	
CMRB	Water Quality	Total P		mg/l	Event / weekly	2005-2017	Present	"Baffaut, Lerch"	"Local, STEWARDS"			"Goodwater creek, Centralia plots, ASP, BAU, Youngs creek, Upper Long Branch, Lower Long Branch"	
CMRB	Water Quality	Herbicides		mg/l	Event / weekly	1992-2005	Present	"Baffaut, Lerch"	"Local, STEWARDS"			"Goodwater creek, Centralia plots, ASP, BAU, Youngs creek, Upper Long Branch, Lower Long Branch"	
CMRB	Water Flow	Stage/Discharge		"mm , ft3/sec"	2-15 minutes	1970-2005	Present	"Baffaut, Lerch, Sudduth"	"Local, STEWARDS"			"Goodwater creek, Centralia plots, ASP, BAU, Youngs creek, Upper Long Branch"	
CMRB	Meteorological	Air Temperature		Deg C	2-60 minutes	1993-2016	Present	"Sadler, Lerch"	"Local, NAL LTAR Data Portal"			"ASP, SPARC"	
CMRB	Meteorological	Relative Humidity		%	2-60 minutes	1993-2017	Present	"Sadler, Lerch"	"Local, NAL LTAR Data Portal"			"ASP, SPARC"	
CMRB	Meteorological	Barometric Pressure		kPa	5 minutes	2015	Present	Sadler	"Local, NAL LTAR Data Portal"			ASP	
CMRB	Meteorological	Short Wave Radiation		W/m2	5 minutes	2015	Present	Sadler	"Local, NAL LTAR Data Portal"			ASP	
CMRB	Meteorological	Photosynthetically Active Radiation		umol/sec/m^2	5 minutes	2015	Present	Sadler	"Local, NAL LTAR Data Portal"			ASP	
CMRB	Meteorological	Long Wave Radiation		W/m2	5 minutes	2015	Present	Sadler	"Local, NAL LTAR Data Portal"			ASP	
CMRB	Meteorological	Wind Speed		m/sec	5-60 minutes	1993-2015	Present	Sadler	"Local, NAL LTAR Data Portal"			ASP	
CMRB	Meteorological	Wind Direction		Deg	5-60 minutes	1993-2016	Present	Sadler	"Local, NAL LTAR Data Portal"			ASP	
CMRB	Meteorological	Precipitation		mm	2-60 minutes	1969-2015	Present	"Sadler, Baffaut"	"Local, NAL LTAR Data Portal, STEWARDS"			"ASP, Goodwater creek"	
CMRB	EC Flux Towers	CO2 concentration		ml/m3	30 minutes	2015-2016	Present	"Sadler, Greer"	"Local, AmeriFlux"			"ASP, BAU"	
CMRB	EC Flux Towers	CO2 density		mg/m3	30 minutes	2015-2016	Present	"Sadler, Greer"	"Local, AmeriFlux"			"ASP, BAU"	
CMRB	EC Flux Towers	CO2 flux		mg/m2/sec	30 minutes	2015-2016	Present	"Sadler, Greer"	"Local, AmeriFlux"			"ASP, BAU"	
CMRB	EC Flux Towers	Water vapor flux		W/m2	30 minutes	2015-2016	Present	"Sadler, Greer"	"Local, AmeriFlux"			"ASP, BAU"	
CMRB	EC Flux Towers	Sensible heat flux		W/m3	30 minutes	2015-2016	Present	"Sadler, Greer"	"Local, AmeriFlux"			"ASP, BAU"	
CMRB	EC Flux Towers	Water vapor concentration (mixing ratio)		g/kg	30 minutes	2015-2016	Present	"Sadler, Greer"	"Local, AmeriFlux"			"ASP, BAU"	
CMRB	EC Flux Towers	Water vapor density		g/m^3	30 minutes	2015-2016	Present	"Sadler, Greer"	"Local, AmeriFlux"			"ASP, BAU"	
CMRB	EC Flux Towers	Latent heat flux		W/m2	30 minutes	2015-2016	Present	"Sadler, Greer"	"Local, AmeriFlux"			"ASP, BAU"	
