LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
GACP	Phenology	Phenocam	RGB_image		30_Min	5/10/2016	Present	David Bosch	.jpeg	https://phenocam.sr.unh.edu/webcam/sites/arsgacp1/		Ponder	Open
GACP	Phenology	Phenocam	RGB_meta		30_Min	5/10/2016	Present	David Bosch	.meta			Ponder	Open
GACP	Phenology	Phenocam	IR_image		30_Min	5/10/2016	Present	David Bosch	.jpeg	https://phenocam.sr.unh.edu/webcam/sites/arsgacp1_IR/		Ponder	Open
GACP	Phenology	Phenocam	IR meta		30_Min	5/10/2016	Present	David Bosch	.meta			Ponder	Open
GACP	Phenology	Phenocam	RGB_image		30_Min	4/27/2016	1/23/2018	David Bosch	.jpeg	https://phenocam.sr.unh.edu/webcam/sites/arsgacp2/		Ogletree	Open
GACP	Phenology	Phenocam	RGB_meta		30_Min	4/27/2016	1/23/2018	David Bosch	.meta			Ogletree	Open
GACP	Phenology	Phenocam	IR_image		30_Min	4/27/2016	1/23/2018	David Bosch	.jpeg	https://phenocam.sr.unh.edu/webcam/sites/arsgacp2_IR/		Ogletree	Open
GACP	Phenology	Phenocam	IR meta		30_Min	4/27/2016	1/23/2018	David Bosch	.meta			Ogletree	Open
GACP	Phenology	Phenocam	RGB_image		30_Min	4/12/2018	Present	David Bosch	.jpeg	https://phenocam.sr.unh.edu/webcam/sites/arsgacp3/		RG52	
GACP	Phenology	Phenocam	RGB_meta		30_Min	4/12/2018	Present	David Bosch	.meta			RG52	
GACP	Phenology	Phenocam	IR_image		30_Min	4/12/2018	Present	David Bosch	.jpeg	https://phenocam.sr.unh.edu/webcam/sites/arsgacp3_IR/		RG52	
GACP	Phenology	Phenocam	IR meta		30_Min	4/12/2018	Present	David Bosch	.meta			RG52	
GACP	Phenology	Phenocam	RGB_image		30_Min	TBD		David Bosch	.jpeg	https://phenocam.sr.unh.edu/webcam/sites/arsgacp4/		Wiliford	
GACP	Phenology	Phenocam	RGB_meta		30_Min	TBD		David Bosch	.meta			Wiliford	
GACP	Phenology	Phenocam	IR_image		30_Min	TBD		David Bosch	.jpeg	https://phenocam.sr.unh.edu/webcam/sites/arsgacp4_IR/		Wiliford	
GACP	Phenology	Phenocam	IR meta		30_Min	TBD		David Bosch	.meta			Wiliford	
GACP	Phenology	NDVI	NDVI		event			Alisa Coffin	spreadsheet				
GACP	Phenology	NDVI	NDVI		event			Alisa Coffin	ArcGIS table				
GACP	Phenology	Leaf Area Index	LAI		event			Dinku Endale	spreadsheet				
GACP	Precipitation	Precipitation	rainfall	inch	1_Min	1/1/2004	Present	David Bosch	.csv			RG8	Closed
GACP	Precipitation	Precipitation	rainfall	inch	1_Min	1/1/2004	Present	David Bosch	.csv			RG12	Closed
GACP	Precipitation	Precipitation	rainfall	inch	1_Min	1/1/2004	Present	David Bosch	.csv			RG16	Closed
GACP	Precipitation	Precipitation	rainfall	inch	1_Min	1/1/2004	Present	David Bosch	.csv			RG22	Closed
