LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
LMRB	PRECIPITATION	Precipitation (analog)		in	1 minute cumulative	29677	Present	USDA-ARS NSL				GCEW_26-34 gages	
LMRB	PRECIPITATION	Precipitation (analog)		in	15 minute cumulative	1999	Present	NRCS-SCAN				BLW_1 gauge	
LMRB	PRECIPITATION	Precipitation (analog)		in	15 minute cumulative	2011	Present	USDA-ARS NSL				BLW_2 gages	
LMRB	RUNOFF	Runoff 		stage/discharge	"Variable, Daily, Event"	29677	Present	USDA-ARS NSL				GCEW_9-14 measurement flumes; 6 edge of field sites	
LMRB	RUNOFF	Runoff 		"Volume(mm/in/cf), Runoff rate (in/hr)"	"Variable, Event"	2008	Present	USDA-ARS NSL				BLW_12-19 locations; time period varies by location	
LMRB	SEDIMENT	Fines concentration		ppm	"Event, Instantaneous"	29739	Present	USDA-ARS NSL				GCEW_5-14 measurement points	
LMRB	SEDIMENT	Sand concentration		ppm	"Event, Instantaneous"	29739	Present	USDA-ARS NSL				GCEW_5-14 measurement points	
LMRB	SEDIMENT	Suspended Sediment Concentration		ppm	"Event, Instantaneous"	29739	Present	USDA-ARS NSL				GCEW_5-14 measurement points	
LMRB	Water Quality	Total Solids		mg/L	"Monthly, Event"	2011 / 2004	Present	USDA-ARS NSL				GCEW / BLW_GWEW - 5 locations; BLW - 19 locations	
LMRB	Water Quality	Suspended Solids		mg/L	"Monthly, Event"	2011 / 2004	Present	USDA-ARS NSL				GCEW / BLW_GWEW - 5 locations; BLW - 19 locations	
LMRB	Water Quality	Turbidity		NTU	"Monthly, Event"	2011 / 2004	Present	USDA-ARS NSL				GCEW / BLW_GWEW - 5 locations; BLW - 19 locations	
LMRB	Water Quality	PO4-P		mg/L	"Monthly, Event"	2011 / 2004	Present	USDA-ARS NSL				GCEW / BLW_GWEW - 5 locations; BLW - 19 locations	
LMRB	Water Quality	NH4-N		mg/L	"Monthly, Event"	2011 / 2004	Present	USDA-ARS NSL				GCEW / BLW_GWEW - 5 locations; BLW - 19 locations	
