VisionsingGroup,LTAR_SITE
Dairy component,UCB
Dairy component,TG
Dairy component,UMRB
Aird rangelands,CPER
Aird rangelands,GB
Aird rangelands,JER
Aird rangelands,WGEW
Great plains rangelands,ABS-UF
Great plains rangelands,CPER
Great plains rangelands,NP
Great plains rangelands,SP
Great plains rangelands,TG
Higher productivity croplands,CAF
Higher productivity croplands,CMRB
Higher productivity croplands,ECB
Higher productivity croplands,KBS
Higher productivity croplands,PRHPA
Higher productivity croplands,UMRB
Higher diversity croplands,NP
Higher diversity croplands,SP
Higher diversity croplands,LMRB
Higher diversity croplands,GACP
Higher diversity croplands,LCB
