LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
NP	Micrometeorology 		NP = Northern Plains						"CSV, Excel, shapefiles, geodatabase, ArcGIS online"				
NP	Micrometeorology 		H5 = Field H5 at Area IV SCD										
NP	Micrometeorology 		yyyy-MM-ddThh:mm:ss-6UTC										
NP	Micrometeorology 		C = Common										
NP	Micrometeorology 		"Eddy covariance; fluxes of CO2, water vapor and sensible heat"						.CSV				
NP	Micrometeorology 		"Ambient temperature at 2.8 m above ground surface, models HMP45 and FW3"						.CSV				
NP	Micrometeorology 		"Canopy surface temperature, model SI-111"						.CSV				
NP	Micrometeorology 		"Wind speed from 3-D sonic anemometer, model CSAT3"						.CSV				
NP	Micrometeorology 		"Wind direction from 3-D sonic anemometer, model CSAT3"						.CSV				
NP	Micrometeorology 		"Ambient relative humidity at 2.8 m above ground surface, model HMP45"						.CSV				
NP	Micrometeorology 		"Precipitation, model TE525 -  tipping bucket rain gauge at Fields H5 and I2"						.CSV				
NP	Micrometeorology 		"Precipitation, model AEPG II by Belfort - weighing rain gauge at Field H2"						.CSV				
NP	Micrometeorology 		"Atmospheric pressure, transducer in IRGA model LI-7500A"						.CSV				
NP	Micrometeorology 		"Photosynthetically active radiation (PAR), quantum sensor model LI-190SB"						.CSV				
NP	Micrometeorology 		"Incoming short-wave radiation, up-looking pyranometer model CNR4"						.CSV				
NP	Micrometeorology 		"Incoming long-wave radiation, up-looking pyrgeometer model CNR4"						.CSV				
NP	Micrometeorology 		"Outgoing short-wave radiation, down-looking pyranometer model CNR4"						.CSV				
NP	Micrometeorology 		"Outgoing long-wave radiation, down-looking pyrgeometer model CNR4"						.CSV				
NP	Micrometeorology 		"Soil heat flux, model HFT3.1"						.CSV				
NP	Micrometeorology 		"Soil moisture at various depths, models: EnviroScan, CS616, 5TM"						.CSV				
NP	Micrometeorology 		"Soil temperature at various depths, models: TCAV, 5TM, SO-110"						.CSV				
NP	Micrometeorology 		"Soil oxygen at various depths, model SO-110"						.CSV				
NP	Micrometeorology 												
NP	Phenology		"Phenocam at each eddy covariance station, BAU (Field H5) and ASP (Field I2)"						.JPG				
NP	Phenology		"Spectral reflectance sensors, models SRS-NDVI and SRS-PRI"						.CSV				
NP	Phenology		Landsat 8 imageries						.TIF				
NP	Phenology												
NP	Vegetation		"Above-ground biomass, plant height, phenology, leaf area index (LAI)"						.XLS				
NP	Vegetation		"Biomass, aboveground, plant tissue, mean or single measurement, kilograms per hectare"						".XLS, Access database"				
NP	Vegetation		"Individual kernel weight, plant tissue, mean or single measurement, megagrams"						".XLS, Access database"				
NP	Vegetation		"Grain harvest, plant tissue, mean or single measurement, kilograms per hectare"						".XLS, Access database"				
