LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Acid Detergent Fiber		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Acid Insoluble Lignin 		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Acid Soluble Lignin		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Arabinan		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Ash		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Crude Protein		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Galactan		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Glucan		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Lignin		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Mannan		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Neutral Detergent Fiber		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Non-fiber Carbohydrates		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS CARBOHYDRATE ANALYSIS	Xylan		g/kg harvested material				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS ENERGY	Ash		g/kg dry matter				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS ENERGY	Gross_Calorific_Value		MJ/kg dry matter				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS ENERGY	Volatile_Matter		g/kg dry matter				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS MINERAL ANALYSIS	Al		mg/kg				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS MINERAL ANALYSIS	B		mg/kg				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS MINERAL ANALYSIS	C		g/kg				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS MINERAL ANALYSIS	Ca		g/kg				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS MINERAL ANALYSIS	Cl		g/kg				Dell	GRACEnet	GRACEnet			
UCB	BIOMASS MINERAL ANALYSIS	Cu		mg/kg				Dell	GRACEnet	GRACEnet			
