ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
ABS-UF		ABS-UF	Eddy Covariance	Air density		kg/m3	30 min	30 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4		.dat files			5	EC towers	Closed	Eddy Covariance	AmeriFlux, MeasGHGFlux	Air density	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
ABS-UF		ABS-UF	Eddy Covariance	Avg ambient temperature		C	30 min	30 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4		.dat files			5	EC towers	Closed	Eddy Covariance	AmeriFlux, MeasGHGFlux	Temperature, air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
ABS-UF		ABS-UF	Eddy Covariance	CO2 conc		W/m2	30 min	30 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4		.dat files			5	EC towers	Closed	Eddy Covariance	AmeriFlux, MeasGHGFlux	unresolved	Meteorology				Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
ABS-UF		ABS-UF	Eddy Covariance	CO2 flux		W/m2	30 min	30 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4		.dat files			5	EC towers	Closed	Eddy Covariance	AmeriFlux, MeasGHGFlux	unresolved	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
ABS-UF		ABS-UF	Eddy Covariance	Friction velocity		m/s	30 min	30 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4		.dat files			5	EC towers	Closed	Eddy Covariance	AmeriFlux, MeasGHGFlux	unresolved	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
ABS-UF		ABS-UF	Eddy Covariance	H2O conc		W/m2	30 min	30 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4		.dat files			5	EC towers	Closed	Eddy Covariance	AmeriFlux, MeasGHGFlux	unresolved	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
ABS-UF		ABS-UF	Eddy Covariance	Latent heat flux		W/m2	30 min	30 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4		.dat files			5	EC towers	Closed	Eddy Covariance	AmeriFlux, MeasGHGFlux	Heat, flux	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
ABS-UF		ABS-UF	Eddy Covariance	Saturated vapour pressure		kPa	30 min	30 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4		.dat files			5	EC towers	Closed	Eddy Covariance	AmeriFlux, MeasGHGFlux	saturated vapor pressure	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
ABS-UF		ABS-UF	Eddy Covariance	Soil conductivity		dS/m	30 min	30 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4		.dat files			5	EC towers	Closed	Eddy Covariance	AmeriFlux, MeasGHGFlux	Soil electrical conductivity, soil	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
ABS-UF		ABS-UF	Eddy Covariance	Sonic temp corrected for humidity		C	30 min	30 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4		.dat files			5	EC towers	Closed	Eddy Covariance	AmeriFlux, MeasGHGFlux	Temperature, air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
