LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
CAF	Plant	CookEastPlantHandHarvest_Crop	Crop type	unitless	Seasonal	1999	2016	David Huggins	"csv, nosql"				closed
CAF	Plant	CookEastPlantHandHarvest_Variety	Crop variety	unitless	Seasonal	1999	2016	David Huggins	"csv, nosql"				closed
CAF	Plant	CookEastPlantHandHarvest_YieldStandard	Yield at 12.5% moisture	kg m-2	Seasonal	1999	2016	David Huggins	"csv, nosql"				closed
CAF	Plant	CookEastPlantHandHarvest_CGrain	Grain carbon	%	Seasonal	1999	2016	David Huggins	"csv, nosql"				closed
CAF	Plant	CookEastPlantHandHarvest_NGrain	Grain nitrogen	%	Seasonal	1999	2016	David Huggins	"csv, nosql"				closed
CAF	Plant	CookEastPlantHandHarvest_SGrain	Grain sulfur	%	Seasonal	1999	2016	David Huggins	"csv, nosql"				closed
CAF	Plant	CookEastPlantHandHarvest_ProteinGrain	Grain protein	%	Seasonal	1999	2016	David Huggins	"csv, nosql"				closed
CAF	Plant	CookEastPlantHandHarvest_MassResidue	Residue mass	kg m-2	Seasonal	1999	2016	David Huggins	"csv, nosql"				closed
CAF	Plant	CookEastPlantHandHarvest_CResidue	Residue carbon	%	Seasonal	1999	2016	David Huggins	"csv, nosql"				closed
CAF	Plant	CookEastPlantHandHarvest_NResidue	Residue nitrogen	%	Seasonal	1999	2016	David Huggins	"csv, nosql"				closed
CAF	Plant	CookEastPlantHandHarvest_SResidue	Residue sulfur	%	Seasonal	1999	2016	David Huggins	"csv, nosql"				closed
CAF	Plant	CafPlantHarvest_Crop	Crop type	unitless	Seasonal	2017	Present	David Huggins	"csv, nosql"				closed
CAF	Plant	CafPlantHarvest_Variety	Crop variety	unitless	Seasonal	2017	Present	David Huggins	"csv, nosql"				closed
CAF	Plant	CafPlantHarvest_YieldStandard	Yield at 12.5% moisture	kg m-2	Seasonal	2017	Present	David Huggins	"csv, nosql"				closed
CAF	Plant	CafPlantHarvest_CGrain	Grain carbon	%	Seasonal	2017	Present	David Huggins	"csv, nosql"				closed
CAF	Plant	CafPlantHarvest_NGrain	Grain nitrogen	%	Seasonal	2017	Present	David Huggins	"csv, nosql"				closed
CAF	Plant	CafPlantHarvest_SGrain	Grain sulfur	%	Seasonal	2017	Present	David Huggins	"csv, nosql"				closed
CAF	Plant	CafPlantHarvest_ProteinGrain	Grain protein	%	Seasonal	2017	Present	David Huggins	"csv, nosql"				closed
CAF	Plant	CafPlantHarvest_MassResidue	Residue mass	kg m-2	Seasonal	2017	Present	David Huggins	"csv, nosql"				closed
CAF	Plant	CafPlantHarvest_CResidue	Residue carbon	%	Seasonal	2017	Present	David Huggins	"csv, nosql"				closed
CAF	Plant	CafPlantHarvest_NResidue	Residue nitrogen	%	Seasonal	2017	Present	David Huggins	"csv, nosql"				closed
CAF	Plant	CafPlantHarvest_SResidue	Residue sulfur	%	Seasonal	2017	Present	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilShallowCore_Nitrogen	Soil nitrogen	%	"1999, 2008, 2015"			David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilShallowCore_Carbon	Soil carbon	%	"1999, 2008, 2015"			David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilShallowCore_pH	Soil pH	unitless	"1999, 2008, 2015"			David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilShallowCore_BulkDensity	Soil bulk density	g cm-3	"1999, 2008, 2015"			David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilDeepCore_Nitrogen	Soil nitrogen	%	"1999, 2008, 2015"			David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilDeepCore_Carbon	Soil carbon	%	"1999, 2008, 2015"			David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilDeepCore_pH	Soil pH	unitless	"1999, 2008, 2015"			David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilDeepCore_BulkDensity	Soil bulk density	g cm-3	"1999, 2008, 2015"			David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_Horizon	Horizon designation	unitless		2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_DepthToBottom	Horizon depth to bottom	cm		2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_Dhue				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_Dval				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_DChr				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_Mhue				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_Mval				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_MChr				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_Structure				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_Dconsist				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_Wconsist				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_Stickiness				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_Plasticity				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_Roots				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_Poors				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_ISFs				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilCharacteristics_MiscFeatures				2000	2000	David Huggins	"csv, nosql"				closed
CAF	Soil	CookEastSoilMoistureNetwork_MoistureVolumetric	Volumetric water	m3 m-3	Hourly	2007	2016	David Huggins	csv				closed
CAF	Soil	CookEastSoilMoistureNetwork_Temperature	Soil temperature	C	Hourly	2007	2016	David Huggins	csv				closed
CAF	Soil	CookEastSoilMoistureNetwork_BulkDensity	Soil bulk density	g cm-3		2007	2016	David Huggins	csv				closed
CAF	Soil	CookEastSoilMoistureNetwork_SizePartical	Soil partical size	unitless		2007	2016	David Huggins	csv				closed
CAF	Soil	CookEastSoilMoistureNetwork_EC	Eletrical conductivity	dS m-1		2007	2016	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_OM_PERCENT	Organic matter	%	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_P1_PPM	P1 Phosphorus	ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_P2_PPM	P2 Phosphorus	ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_K_PPM	Potassium	ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_MG_PPM	Magnesium	ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_CA_PPM	Calcium	ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_NA_PPM	Sodium	ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_PH	pH	ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_BUFF_INDEX		unitless	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_H MEQ			3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_CEC		meq/100g	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_PERCENT_K		%	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_PERCENT_MG		%	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_PERCENT_CA		%	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_PERCENT_H		%	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_PERCENT_NA		%	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_NO3_N_PPM		%	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_S_PPM		ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_ZN_PPM		ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_MN_PPM		ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_FE_PPM		ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_CU_PPM		ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_B_PPM		ppm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_SOL_SALTS	Soluble salts	mmhos/cm	3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_CL_OR_AL_PPM			3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_MO_PPM			3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_BICARB			3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_EX_LIME_RATE			3-5 years	2017	Present	David Huggins	csv				closed
CAF	Soil	CookSoilHealthSurvey_SUB_NO3_1			3-5 years	2017	Present	David Huggins	csv				closed
