ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
CMRB459	459	CMRB	EC Flux Towers	CO2 concentration		ml/m3	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB460	460	CMRB	EC Flux Towers	CO2 density		mg/m3	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB461	461	CMRB	EC Flux Towers	CO2 flux		mg/m2/sec	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB462	462	CMRB	EC Flux Towers	Water vapor flux		W/m2	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB463	463	CMRB	EC Flux Towers	Sensible heat flux		W/m3	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB464	464	CMRB	EC Flux Towers	Water vapor concentration (mixing ratio)		g/kg	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB465	465	CMRB	EC Flux Towers	Water vapor density		g/m^3	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB466	466	CMRB	EC Flux Towers	Latent heat flux		W/m2	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB467	467	CMRB	EC Flux Towers	Incoming long wave radiation		W/m2	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB468	468	CMRB	EC Flux Towers	Outgoing long wave radiation		W/m2	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
