ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
CPER543	543	CPER	Animals	Cattle behavior	Cattle use of prairie dog towns on the shortgrass steppe of Colorado				1999	1999	1999-01-01	2000	2000	2000-12-31	2	Debra Guenther, James Detling, Nicole Kaplan	ASCII file in institutional repository	http://hdl.handle.net/10217/83512	open	5	Central Plains Experimental Range, Nunn, Colorado	open	Animals	new animals 	behavioral observation					Animal Science and Animal Products	farming	no
CPER544	544	CPER	Animals	Pedometer	Data from Pedometers worn by 30 individal cattle	activity data from pedometers			2016	2016	2016-01-01	2018	now	2019-12-31	4	David Augustine, Samuel Gersie, Justin Derner, Nicole Kaplan	shared server and managed with R			11	Central Plains Experimental Range, Nunn, Colorado	Closed	Animals	new animals 	energetics	Animals, Animal Science, Rangeland				Animal Science and Animal Products	farming	yes
CPER545	545	CPER	Animals	DOM	Dissolved oragnic matter in feces		weekly	1 week	2016	2016	2016-01-01		now	2019-12-31	4	Justin Derner, EJ Raynor, David Augustine	Access Database			11	Central Plains Experimental Range, Nunn, Colorado	Closed	Animals	new animals 	Dissolved organic matter	Animals, Animal Science, Rangeland				Animal Science and Animal Products	farming	yes
CPER546	546	CPER	Animals	Crude Protein	Crude Protein in feces		weekly	1 week	2016	2016	2016-01-01		now	2019-12-31	4	Justin Derner, EJ Raynor, David Augustine	Access Database			11	Central Plains Experimental Range, Nunn, Colorado	Closed	Animals	new animals 	Crude Protein					Animal Science and Animal Products	farming	yes
CPER547	547	CPER	Animals	CollarData	Data from Lotek collars worn by 30 individal cattle	GPS location, and activity			2014	2014	2014-01-01	2018	now	2019-12-31	6	David Augustine, Samuel Gersie, Justin Derner, Nicole Kaplan	shared server and managed with R			11	Central Plains Experimental Range, Nunn, Colorado	Closed	Animals	new animals 	activity	Animals, Animal Science, Rangeland				Animal Science and Animal Products	farming	yes
CPER548	548	CPER	Animals	AGM_CattleDatesAndGain	Dates of arrival and departure for cattle, as well as weigh-in and weigh-out	pounds, dates	annual	1 year	2013	2013	2013-01-01	2018	now	2019-12-31	7	David Augustine, Samuel Gersie, Justin Derner, Nicole Kaplan	Access Database			11	Central Plains Experimental Range, Nunn, Colorado	Closed	Animals	new animals 	stocking rate	Animals, Animal Science, Rangeland				Animal Science and Animal Products	farming	yes
CPER549	549	CPER	Animals	Cattle Behavior	Cattle behavior observations in prairie dog towns and on Collaborative Adaptive Rangeland Management Experiment	qualitative descriptions of behavior			2009	2009	2009-01-01	2018	now	2019-12-31	11	David Augustine,  Justin Derner, Nicole Kaplan	shared server and managed with R			3	Central Plains Experimental Range, Nunn, Colorado	Closed	Animals	new animals 	behavioral observation	Animals, Animal Science, Rangeland				Animal Science and Animal Products	farming	yes
CPER550	550	CPER	Animals	Cattle weight gain	long-term data sets	pounds, dates			1939	1939	1939-01-01	2018	now	2019-12-31	81	Justin Derner, David Augustine, Nicole Kaplan	Access Database			20	Central Plains Experimental Range, Nunn, Colorado	Open	Animals	new animals 	weight gain	Animals, Animal Science, Rangeland				Animal Science and Animal Products	farming	yes
CPER551	551	CPER	Biodiversity	Genetic Structure of metapopulation of black tailed prairie dogs	SGS-LTER Genetic Structure of Metapopulations of Black-Tailed Prairie Dogs on the Central Plains Experimental Range and Pawnee National Grassland in Nunn, Colorado, USA		annual	1 year	1997	1997	1997-01-01	1998	1998	1998-12-31	2	Michael Antolin, Nicole Kaplan	ASCII file in institutional repository	http://hdl.handle.net/10217/83465	open	5	Central Plains Experimental Range, Nunn, Colorado	open	Biodiversity	new ecology	genetics					Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	no
CPER552	552	CPER	Biodiversity	NestHistories	Nest survival rates	various qualitative and quantative	annual	1 year	2014	2014	2014-01-01	2016	2016	2016-12-31	3	David Augustine, Justin Derner, Nicole Kaplan	Access Database			20	Central Plains Experimental Range, Nunn, Colorado	Closed	Biodiversity	new ecology	survival rate	Biodiversity				Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
