ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
ECB712	712	ECB	HYDROLOGY	Discharge		L/s	15 minute	15 minute				Present	now	2019-12-31	120	Kevin King		Excel Sheets					Hydrology	STEWARDS						Natural Resources, Earth and Environmental Sciences	inlandWaters	
ECB713	713	ECB	Hydrology	Flow		L/5 min	5 minute	5 minute				Present	now	2019-12-31	120	Kevin King		Excel Sheets					Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	
ECB714	714	ECB	Manure	Available N		lbs/Ton	Annual	1 year				Present	now	2019-12-31	120			Excel Sheets					Manure	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Potentially Mineralizable N	Animals, Soil, Manure				Farms and Farming Systems	farming	
ECB715	715	ECB	Manure	NH4-N		lbs/Ton	Annual	1 year				Present	now	2019-12-31	120			Excel Sheets					Manure	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	NH4-N	Animals, Soil, Manure				Farms and Farming Systems	farming	
ECB716	716	ECB	Manure	pH			Annual	1 year				Present	now	2019-12-31	120			Excel Sheets					Manure	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	pH	Animals, Soil, Manure				Farms and Farming Systems	farming	
ECB717	717	ECB	Manure	Solids		lbs/Ton	Annual	1 year				Present	now	2019-12-31	120			Excel Sheets					Manure	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Amendment added	Animals, Soil, Manure				Farms and Farming Systems	farming	
ECB718	718	ECB	Manure	Total N		lbs/Ton	Annual	1 year				Present	now	2019-12-31	120			Excel Sheets					Manure	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Total N	Animals, Soil, Manure				Farms and Farming Systems	farming	
ECB719	719	ECB	Manure	Total P205		lbs/Ton	Annual	1 year				Present	now	2019-12-31	120			Excel Sheets					Manure	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	P amount	Animals, Soil, Manure				Farms and Farming Systems	farming	
ECB720	720	ECB	PRECIPITATION	Precipitation		inches	5 minute	5 minute				Present	now	2019-12-31	120		Excel Sheets	Excel Sheets					Meteorology	WeatherDaily, WeatherStation	Precipitation, total, no media, daily					Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
ECB721	721	ECB	SOIL CHEMISTRY	Cu		mg Cu/kg soil										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Copper, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB722	722	ECB	SOIL CHEMISTRY	EC		dS/m										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Cation exchange capacity, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB723	723	ECB	SOIL CHEMISTRY	Inorganic C		g C/kg soil										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Inorganic soil carbon, soil, mean or single measurement	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB724	724	ECB	SOIL CHEMISTRY	K		mg K/kg soil										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Potassium, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB725	725	ECB	SOIL CHEMISTRY	Mg		mg Mg/kg soil										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Magnesium, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB726	726	ECB	SOIL CHEMISTRY	Mineral Assoc C		g C/kg soil										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Mineral associated carbon, soil, mean or single measurement	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB727	727	ECB	SOIL CHEMISTRY	Mn		Mn mg/kg soil										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Mangenese, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB728	728	ECB	SOIL CHEMISTRY	Nitrite		mg/kg										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Nitrite, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB729	729	ECB	SOIL CHEMISTRY	Organic C		g C/kg soil										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Organic soil carbon, soil, mean or single measurement	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB730	730	ECB	SOIL CHEMISTRY	Potentially Mineralizable N		g/kg										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Potentially Mineralizable N	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB731	731	ECB	SOIL CHEMISTRY	Soluble Organic C		mg C/kg soil										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Soluble organic carbon, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB732	732	ECB	SOIL CHEMISTRY	Total Soil C		g C/kg soil										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Total soil carbon, soil, mean or single measurement	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB733	733	ECB	SOIL CHEMISTRY	Total Soil N		g N/kg soil										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Total soil nitrogen, soil, mean or single measurement	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB734	734	ECB	SOIL CHEMISTRY	Zn		Zn mg/kg soil										Emily Duncan	Excel Sheets						Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Zinc, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB735	735	ECB	SOIL CHEMISTRY	Ca		mg Ca/kg soil	Annual	1 year				Present	now	2019-12-31	120	Emily Duncan	Excel Sheets	Excel Sheets					Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Calcium, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB736	736	ECB	SOIL CHEMISTRY	CEC		cmol/kg	Annual	1 year				Present	now	2019-12-31	120	Emily Duncan	Excel Sheets	Excel Sheets					Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Cation exchange capacity, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB737	737	ECB	SOIL CHEMISTRY	Fe		Fe mg/kg soil	Annual	1 year				Present	now	2019-12-31	120	Emily Duncan	Excel Sheets	Excel Sheets					Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Iron, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB738	738	ECB	SOIL CHEMISTRY	NH4		mg N/kg soil	Annual	1 year				Present	now	2019-12-31	120	Emily Duncan	Excel Sheets	Excel Sheets					Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Ammonium nitrogen, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB739	739	ECB	SOIL CHEMISTRY	NO3		mg N/kg soil	Annual	1 year				Present	now	2019-12-31	120	Emily Duncan	Excel Sheets	Excel Sheets					Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Nitrate nitrogen, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
ECB740	740	ECB	SOIL CHEMISTRY	P		mg P/kg soil	Annual	1 year				Present	now	2019-12-31	120	Emily Duncan	Excel Sheets	Excel Sheets					Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Phosphorus, soil	Soil, Soil Chemistry				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
