ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
GACP758	758	GACP	Eddy flux	Hs		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP759	759	GACP	Eddy flux	tau		kg/(m s^2)	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP760	760	GACP	Eddy flux	u_star		m/s	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP761	761	GACP	Eddy flux	Ts_stdev		C	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP762	762	GACP	Eddy flux	Ts_Ux_cov		C m/s	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP763	763	GACP	Eddy flux	Ts_Uy_cov		C m/s	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP764	764	GACP	Eddy flux	Ts_Uz_cov		C m/s	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP765	765	GACP	Eddy flux	Ux_stdev		m/s	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP766	766	GACP	Eddy flux	Ux_Uy_cov		(m/s)^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP767	767	GACP	Eddy flux	Ux_Uz_cov		(m/s)^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP768	768	GACP	Eddy flux	Uy_stdev		m/s	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
