ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
JER4188	4188	JER	Animal	Red Lake GPS	GPS location of individual cattle	Lat/Long	5 minutes during 4 seasons	5 minute	6/12/2008	2008-06-12	2008-06-12	11/30/2008	2008-11-30	2008-11-30	1	Sheri Spiegal	CSV	Responsible Person Custody			Jornada Experimental Range, Las Cruces, New Mexico	Open	Animals	new animals 	coordinates	Animals, Animal Science, Rangeland				Animal Science and Animal Products	farming	
JER4189	4189	JER	Animal	DNA Metabarcoding	Operational Taxonomic Unit (OTU) concentration in fecal sample	percent concentration (%)	seasonal (summer, winter)	0 month	8/6/2015	2015-08-06	2015-08-06	2/24/2017	2017-02-24	2017-02-24	2	Sheri Spiegal	CSV	Responsible Person Custody			Jornada Experimental Range, Las Cruces, New Mexico	Open	Animals	new animals 	Operational Taxonomic Unit (OTU) concentration in fecal sample	Animals, Animal Science, Rangeland				Animal Science and Animal Products	farming	
JER4190	4190	JER	Meteorology	WS_ms_Avg	average wind speed	m/s	5 minutes	5 minute	02/18/2010	2010-02-18	2010-02-18	09/10/2019	2019-09-10	2019-09-10	10	Dave Thatcher	CSV	https://portal.edirepository.org		9	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Wind speed, air, timestep, mean	Meteorology		EDI		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4191	4191	JER	Meteorology	WindDir	wind direction	degrees (0-359)	5 minutes	5 minute	02/18/2010	2010-02-18	2010-02-18	09/10/2019	2019-09-10	2019-09-10	10	Dave Thatcher	CSV	https://portal.edirepository.org		9	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Wind direction, air, timestep, mean	Meteorology		EDI		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4192	4192	JER	Meteorology	AirTC_Avg	average air temperature	degress Celsius	5 minutes	5 minute	02/18/2010	2010-02-18	2010-02-18	09/10/2019	2019-09-10	2019-09-10	10	Dave Thatcher	CSV	https://portal.edirepository.org		9	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Temperature, air, daily, mean	Meteorology		EDI		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4193	4193	JER	Meteorology	RH_Max	maximum relative humidity	percent	5 minutes	5 minute	02/18/2010	2010-02-18	2010-02-18	09/10/2019	2019-09-10	2019-09-10	10	Dave Thatcher	CSV	https://portal.edirepository.org		9	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Relative humidity, air, timestep, mean	Meteorology		EDI		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4194	4194	JER	Meteorology	Rain_in_Tot	total precipitation	inches	5 minutes	5 minute	02/18/2010	2010-02-18	2010-02-18	09/10/2019	2019-09-10	2019-09-10	10	Dave Thatcher	CSV	https://portal.edirepository.org		9	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Precipitation, timestep, total	Meteorology		EDI		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4195	4195	JER	Meteorology	prec_in	daily precipitation from Belfort weighing rain gauges	inches	daily	1 day	04/22/1976	1976-04-22	1976-01-01	12/31/2010	2010-12-31	2010-12-31	35	Dave Thatcher	CSV	https://portal.edirepository.org/nis/dataviewer?packageid=knb-lter-jrn.210407001.4&entityid=ebe46462e59414529e11aca4082816b3	knb-lter-jrn.210407001.4	58	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Precipitation, total, no media, daily	Meteorology		EDI		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4196	4196	JER	Meteorology	panEvap	calculated pan evaporation	inches	twice weekly	0 day	7/12/1983	1983-07-12	1983-07-12	05/31/2019	2019-05-31	2019-05-31	36	John Anderson	CSV	https://portal.edirepository.org/nis/dataviewer?packageid=knb-lter-jrn.210127001.111&entityid=b4c3656272918cbcaeb32374bbab21b1	knb-lter-jrn.210127001.111	1	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	unresolved	Meteorology		EDI		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4197	4197	JER	Meteorology	prec_in	monthly precipitation from standard rain gauges	inch	monthly	1 month	1915	1915	1915-01-01	06/03/2019	2019-06-03	2019-06-03	104	Dave Thatcher	CSV	https://portal.edirepository.org/nis/dataviewer?packageid=knb-lter-jrn.210380001.733&entityid=5fd63f23b1fe349979ba328ae3dceb7c	knb-lter-jrn.210380001.733	39	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Precipitation, timestep, total	Meteorology		EDI		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4198	4198	JER	Meteorology	TMAX	maximum temperature at Headquarters station	degrees Fahrenheit	daily	1 day	6/4/1914	1914-06-04	1914-06-04	Present	now	2019-12-31	106	Dave Thatcher	CSV	https://www.ncdc.noaa.gov/cdo-web/datasets/GHCND/stations/GHCND:USC00294426/detail	GHCND:USC00294426	1	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Temperature, air, daily,maximum	Meteorology		NOAA		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4199	4199	JER	Meteorology	TMIN	minimum temperature at Headquarters station	degrees Fahrenheit	daily	1 day	6/4/1914	1914-06-04	1914-06-04	Present	now	2019-12-31	106	Dave Thatcher	CSV	https://www.ncdc.noaa.gov/cdo-web/datasets/GHCND/stations/GHCND:USC00294426/detail	GHCND:USC00294426	1	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Temperature, air, daily, minimum	Meteorology		NOAA		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4200	4200	JER	Meteorology	PRCP	total precipitation at Headquarters station	inches	daily	1 day	6/1/1914	1914-06-01	1914-06-01	Present	now	2019-12-31	106	Dave Thatcher	CSV	https://www.ncdc.noaa.gov/cdo-web/datasets/GHCND/stations/GHCND:USC00294426/detail	GHCND:USC00294426	1	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Precipitation, total, no media, daily	Meteorology		NOAA		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4201	4201	JER	Meteorology	SNOW	snow depth at Headquarters station	inches	daily	1 day	6/1/1914	1914-06-01	1914-06-01	Present	now	2019-12-31	106	Dave Thatcher	CSV	https://www.ncdc.noaa.gov/	GHCND:USC00294426	1	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Precipitation, snow, no media, daily	Meteorology		NOAA		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4202	4202	JER	Meteorology	Photosynthetically Active Radiation	Photosynthetically Active Radiation (PAR)	Hertz	minute	1 minute	14-Sep	2014-09	2014-09	Present	now	2019-12-31	5	Dawn Browning	CSV	http://data.neonscience.org/browse-data?siteCode=JORN	JORN	1	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Photosynthetically active radiation	Meteorology		NEON		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4203	4203	JER	Meteorology	Photosynthetically Active Radiation	Photosynthetically Active Radiation (PAR)	Hertz	30 minutes	30 minute	14-Sep	2014-09	2014-09	Present	now	2019-12-31	5	Dawn Browning	CSV	http://data.neonscience.org/browse-data?siteCode=JORN	JORN	1	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Photosynthetically active radiation	Meteorology		NEON		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4204	4204	JER	Meteorology	Barometric Pressure	Photosynthetically Active Radiation (PAR)	kPa	minute	1 minute	14-Sep	2014-09	2014-09	Present	now	2019-12-31	5	Dawn Browning	CSV	http://data.neonscience.org/browse-data?siteCode=JORN	JORN	1	Jornada Experimental Range, Las Cruces, New Mexico	Open	Meteorology	WeatherDaily, WeatherStation	Pressure	Meteorology		NEON		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
JER4205	4205	JER	Phenology	phenocam	plant phenology, production, greenness	image	30 minutes during daylight hours	30 minute	5/15/2014	2014-05-15	2014-05-15	Present	now	2019-12-31	6	Dawn Browning	JPEG	https://phenocam.sr.unh.edu/webcam/gallery/	JORN	1	Jornada Experimental Range, Las Cruces, New Mexico	Open	Phenology	new ecology	PhenoCam	Remote Sensing, Phenology		NEON		Natural Resources, Earth and Environmental Sciences	biota	
JER4206	4206	JER	Phenology	fleaf	month of first leaf	month	monthly	1 month	1993	1993	1993-01-01	Present	now	2019-12-31	27	Dawn Browning	CSV	https://portal.edirepository.org/nis/dataviewer?packageid=knb-lter-jrn.210287001.82&entityid=768b6aa9543cbe48b2a85ab8b9aabf88	knb-lter-jrn.210287001.82	15	Jornada Experimental Range, Las Cruces, New Mexico	Open	Phenology	new ecology	phenological stage	Remote Sensing, Phenology		EDI		Natural Resources, Earth and Environmental Sciences	biota	
JER4207	4207	JER	Phenology	flower	month of first fruit	month	monthly	1 month	1993	1993	1993-01-01	Present	now	2019-12-31	27	Dawn Browning	CSV	https://portal.edirepository.org/nis/dataviewer?packageid=knb-lter-jrn.210287001.82&entityid=768b6aa9543cbe48b2a85ab8b9aabf88https://portal.edirepository.org/nis/dataviewer?packageid=knb-lter-jrn.210287001.82&entityid=768b6aa9543cbe48b2a85ab8b9aabf88	knb-lter-jrn.210287001.82	15	Jornada Experimental Range, Las Cruces, New Mexico	Open	Phenology	new ecology	phenological stage	Remote Sensing, Phenology		EDI		Natural Resources, Earth and Environmental Sciences	biota	
JER4208	4208	JER	Phenology	fruit	month of first flower	month	monthly	1 month	1993	1993	1993-01-01	Present	now	2019-12-31	27	Dawn Browning	CSV	https://portal.edirepository.org/nis/dataviewer?packageid=knb-lter-jrn.210287001.82&entityid=768b6aa9543cbe48b2a85ab8b9aabf88	knb-lter-jrn.210287001.82	15	Jornada Experimental Range, Las Cruces, New Mexico	Open	Phenology	new ecology	phenological stage	Remote Sensing, Phenology		EDI		Natural Resources, Earth and Environmental Sciences	biota	
JER4209	4209	JER	Primary Production	annual NPP (g/m2)	annual net primary production at each of 15 sites	g/m2	annual	1 year	01/01/1990	1990-01-01	1990-01-01	12/31/2015	2015-12-31	2015-12-31	26	Deb Peters	CSV	https://portal.edirepository.org/nis/dataviewer?packageid=knb-lter-jrn.210011003.101&entityid=69014adcf174d2a35bab0aae9f639dae	knb-lter-jrn.210011003.101	15	Jornada Experimental Range, Las Cruces, New Mexico	Open	Vegetation	MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction	unresolved	Vegetation		EDI		Natural Resources, Earth and Environmental Sciences	biota	
JER4210	4210	JER	Vegetation Composition	StressorII_vegetation	foliar cover by species in each treatment plot	percent cover by response	6 years	6 year	01/24/1996	1996-01-24	1996-01-24	2016-10-26	2016-10-26	2016-10-26	21	Darren James	CSV	https://portal.edirepository.org/nis/dataviewer?packageid=knb-lter-jrn.210461001.17&entityid=12137791f6cade12e21e48dfcb8c55d9	knb-lter-jrn.210461001.17	126	Jornada Experimental Range, Las Cruces, New Mexico	Open	Vegetation	MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction	Ground cover, vegetated, none, mean or single measurement, fraction of land area	Vegetation		EDI		Natural Resources, Earth and Environmental Sciences	biota	
JER4211	4211	JER	Vegetation Composition	jer_perm_quad_cover	cover of individual plants, by species, in each 1m2 quadrat	m2	5 years	5 year	06/04/1915	1915-06-04	1915-06-04	03/01/2007	2007-03-01	2007-03-01	92	Darren James	CSV	https://portal.edirepository.org/nis/dataviewer?packageid=knb-lter-jrn.210351001.48&entityid=aa228dcb73aa79925a9a09fff404543e	knb-lter-jrn.210351001.48	122	Jornada Experimental Range, Las Cruces, New Mexico	Open	Vegetation	MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction	Ground cover, vegetated, none, mean or single measurement, fraction of land area	Vegetation		EDI		Natural Resources, Earth and Environmental Sciences	biota	
JER4212	4212	JER	Vegetation Composition	jer_perm_quad_density	count of individual plants, by species, in each 1m2 quadrat	count	5 years	5 year	06/04/1915	1915-06-04	1915-06-04	03/01/2007	2007-03-01	2007-03-01	92	Darren James	CSV	https://portal.edirepository.org/nis/dataviewer?packageid=knb-lter-jrn.210351002.76&entityid=7a3f624b0f72e7c5dcfc7d3d957027aa	knb-lter-jrn.210351002.76	122	Jornada Experimental Range, Las Cruces, New Mexico	Open	Vegetation	MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction	Ground cover, vegetated, none, mean or single measurement, fraction of land area	Vegetation		EDI		Natural Resources, Earth and Environmental Sciences	biota	
