ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
LCB4854	4854	LCB	GREENHOUSE GAS FLUX	Air Temperature	Air Temperature	Deg C	every 15 minutes	15 minute	2005	2005	2005-01-01	2011	2011	2011-12-31	7	Cavigelli	Excel Sheets	Responsible Person Custody				Closed	Greenhouse Gas Emissions	MeasGHGFlux	Temperature, air, sample period, mean or single measurement	Greenhouse Gas Emissions				Physical and Chemical Sciences	climatologyMeteorologyAtmosphere	
LCB4855	4855	LCB	GREENHOUSE GAS FLUX	N2O	Nitrous Oxide	g N/ha/day	Event based		2005	2005	2005-01-01	2011	2011	2011-12-31	7	Cavigelli	Excel Sheets	Responsible Person Custody				Closed	Greenhouse Gas Emissions	MeasGHGFlux	Temperature, air, sample period, mean or single measurement	Greenhouse Gas Emissions				Physical and Chemical Sciences	climatologyMeteorologyAtmosphere	
LCB4856	4856	LCB	GREENHOUSE GAS FLUX	Soil Moisture	Soil Moisture	% vol (cm3H2O/cm3soil)	Event based		2005	2005	2005-01-01	2011	2011	2011-12-31	7	Cavigelli	Excel Sheets	Responsible Person Custody				Closed	Greenhouse Gas Emissions	MeasGHGFlux	Soil moisture, soil, mean or single measurement	Greenhouse Gas Emissions				Physical and Chemical Sciences	climatologyMeteorologyAtmosphere	
LCB4857	4857	LCB	GREENHOUSE GAS FLUX	Soil Temp	Soil Temperature	Deg C	Event based		1996	1996	1996-01-01	present	now	2019-12-31	24	Cavigelli	Excel Sheets	Responsible Person Custody				Closed	Greenhouse Gas Emissions	MeasGHGFlux	Temperature, soil, sample period, mean or single measurement	Greenhouse Gas Emissions				Physical and Chemical Sciences	climatologyMeteorologyAtmosphere	
LCB4858	4858	LCB	Manure	Available N	Available Nitrogen	lbs/Ton	Annual	1 year	1996	1996	1996-01-01	present	now	2019-12-31	24	Cavigelli	Excel Sheets	Responsible Person Custody				Closed	Manure	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Potentially Mineralizable N	Animals, Soil, Manure				Farms and Farming Systems	farming	
LCB4859	4859	LCB	Manure	NH4-N	Ammonium	lbs/Ton	Annual	1 year	1996	1996	1996-01-01	present	now	2019-12-31	24	Cavigelli	Excel Sheets	Responsible Person Custody				Closed	Manure	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	NH4-N	Animals, Soil, Manure				Farms and Farming Systems	farming	
LCB4860	4860	LCB	Manure	pH	pH	pH	Annual	1 year	1996	1996	1996-01-01	present	now	2019-12-31	24	Cavigelli	Excel Sheets	Responsible Person Custody				Closed	Manure	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	pH	Animals, Soil, Manure				Farms and Farming Systems	farming	
LCB4861	4861	LCB	Manure	Solids	Solids	lbs/Ton	Annual	1 year	1996	1996	1996-01-01	present	now	2019-12-31	24	Cavigelli	Excel Sheets	Responsible Person Custody				Closed	Manure	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	recoverable manure	Animals, Soil, Manure				Farms and Farming Systems	farming	
LCB4862	4862	LCB	Manure	Total N	Total Nitrogen	lbs/Ton	Annual	1 year	1996	1996	1996-01-01	present	now	2019-12-31	24	Cavigelli	Excel Sheets	Responsible Person Custody				Closed	Manure	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Total N	Animals, Soil, Manure				Farms and Farming Systems	farming	
LCB4863	4863	LCB	Manure	Total P205	Total Phosphorus Pentoxide	lbs/Ton	Annual	1 year	1996	1996	1996-01-01	present	now	2019-12-31	24	Cavigelli	Excel Sheets	Responsible Person Custody				Closed	Manure	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	P amount	Animals, Soil, Manure				Farms and Farming Systems	farming	
