ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
LMRB4903	4903	LMRB	METEOROLOGY (Eddy covariance)	CO2 concentration		µmol/mol	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4904	4904	LMRB	METEOROLOGY (Eddy covariance)	CO2 density		mmol/m3	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4905	4905	LMRB	METEOROLOGY (Eddy covariance)	CO2 flux		µmol/m2/s	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4906	4906	LMRB	METEOROLOGY (Eddy covariance)				30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4907	4907	LMRB	METEOROLOGY (Eddy covariance)	Water vapor flux		mmol/m2/s	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4908	4908	LMRB	METEOROLOGY (Eddy covariance)				30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4909	4909	LMRB	METEOROLOGY (Eddy covariance)	Sensible heat flux		W/m2	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4910	4910	LMRB	METEOROLOGY (Eddy covariance)				30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4911	4911	LMRB	METEOROLOGY (Eddy covariance)	Water vapor concentration		mmol/mol	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4912	4912	LMRB	METEOROLOGY (Eddy covariance)	Water vapor density		mmol/m3	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4913	4913	LMRB	METEOROLOGY (Eddy covariance)	Latent heat flux		W/m2	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4914	4914	LMRB	METEOROLOGY (Eddy covariance)				30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4915	4915	LMRB	METEOROLOGY (Eddy covariance)	Precipitation		mm	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4916	4916	LMRB	METEOROLOGY (Eddy covariance)	Precipitation annual cumulative		mm	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4917	4917	LMRB	METEOROLOGY (Eddy covariance)	Incoming long wave radiation		W/m2	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4918	4918	LMRB	METEOROLOGY (Eddy covariance)	Outgoing long wave radiation		W/m2	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4919	4919	LMRB	METEOROLOGY (Eddy covariance)	Outgoing global solar radiation		W/m2	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4920	4920	LMRB	METEOROLOGY (Eddy covariance)	Net radiation		W/m2	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4921	4921	LMRB	METEOROLOGY (Eddy covariance)				30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4922	4922	LMRB	METEOROLOGY (Eddy covariance)	Saturated vapor pressure		kPa	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4923	4923	LMRB	METEOROLOGY (Eddy covariance)	Temperature from sonic anemometer		deg C	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4924	4924	LMRB	METEOROLOGY (Eddy covariance)	Friction velocity		m/s	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4925	4925	LMRB	METEOROLOGY (Eddy covariance)	Vapor pressure deficit		kPa	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
LMRB4926	4926	LMRB	METEOROLOGY (Eddy covariance)	Height of eddy covariance sensors		m	30 minute	30 minute															Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
