ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
NP5010	5010	NP	Soil-Atmosphere Gas Flux	CO2 flux (static chamber)	CO2 flux (static chamber)												.XLS, .ACCDB, .MDB					Closed	Greenhouse Gas Emissions	MeasGHGFlux	Carbon dioxide, air, daily, mean or single measurement	Greenhouse Gas Emissions				Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
NP5011	5011	NP	Soil-Atmosphere Gas Flux	N2O flux (static chamber)	N2O flux (static chamber)												.XLS, .ACCDB, .MDB					Closed	Greenhouse Gas Emissions	MeasGHGFlux	Nitrous oxide, air, daily, mean or single measurement	Greenhouse Gas Emissions				Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
NP5012	5012	NP	Soil-Atmosphere Gas Flux	CH4 flux (static chamber)	CH4 flux (static chamber)												.XLS, .ACCDB, .MDB					Closed	Greenhouse Gas Emissions	MeasGHGFlux	Methane, air, daily, mean or single measurement	Greenhouse Gas Emissions				Physical and Chemical Sciences	climatologyMeteorologyAtmosphere	
NP5013	5013	NP	Micrometeorology		Wind speed from 3-D sonic anemometer, model CSAT3												.CSV						Meteorology	WeatherDaily, WeatherStation	Wind speed, air, daily, mean	Meteorology, Eddy Covariance				Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
NP5014	5014	NP	Micrometeorology		Eddy covariance; fluxes of CO2, water vapor and sensible heat												.CSV						Meteorology	AmeriFlux		Meteorology, Eddy Covariance				Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
NP5015	5015	NP	Micrometeorology		Ambient temperature at 2.8 m above ground surface, models HMP45 and FW3												.CSV						Meteorology	WeatherDaily, WeatherStation	Temperature, air, daily, mean	Meteorology				Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
NP5016	5016	NP	Micrometeorology		Canopy surface temperature, model SI-111												.CSV						Meteorology	WeatherDaily, WeatherStation	Temperature, air, daily, mean	Meteorology, Eddy Covariance				Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
NP5017	5017	NP	Micrometeorology		Wind direction from 3-D sonic anemometer, model CSAT3												.CSV						Meteorology	WeatherDaily, WeatherStation	Wind direction air, daily, mean	Meteorology, Eddy Covariance				Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
NP5018	5018	NP	Micrometeorology		Ambient relative humidity at 2.8 m above ground surface, model HMP45												.CSV						Meteorology	WeatherDaily, WeatherStation	Relative humidity, air, daily, mean	Meteorology				Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
NP5019	5019	NP	Micrometeorology		Precipitation, model TE525 -  tipping bucket rain gauge at Fields H5 and I2												.CSV						Meteorology	WeatherDaily, WeatherStation	Precipitation, total, no media, daily	Meteorology, Eddy Covariance				Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
NP5020	5020	NP	Micrometeorology		Precipitation, model AEPG II by Belfort - weighing rain gauge at Field H2												.CSV						Meteorology	WeatherDaily, WeatherStation	Precipitation, total, no media, daily	Meteorology, Eddy Covariance				Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
