ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
SP5131	5131	SP	ANIMAL		CH4 fluxes	g/day/cow	Daily	1 day	2015	2015	2015-01-01	Present	now	2019-12-31	5	Neel	.xls	GRL				Closed	Animals	MeasGHGFlux	Methane, air, daily, mean or single measurement	Animals, Animal Science, Rangeland				Animal Science and Animal Products	farming	
SP5132	5132	SP	ANIMAL		Weight	kg	as needed		-			Present	now	2019-12-31	120	Neel	.xls	GRL				Closed	Animals	new animals	weight gain	Animals, Animal Science, Rangeland				Animal Science and Animal Products	farming	
SP5133	5133	SP	ANIMAL		Health related paramters	observational	Daily, Weekly		-			Present	now	2019-12-31	120	Neel	.xls	GRL				Closed	Animals	new animals	behavioral observation	Animals, Animal Science, Rangeland				Animal Science and Animal Products	farming	
SP5134	5134	SP	EDDY COVARIANCE	ET	evapotranspiration	mm/hr	60 min	1 hour	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux	Evapotranspiration	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5135	5135	SP	EDDY COVARIANCE	RN	net radiation	W/m^2	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux	Solar radiation, total, no media, daily	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5136	5136	SP	EDDY COVARIANCE		outgoing long wave radiation	W/m^2	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	WeatherDaily, WeatherStation	ave_outgoing_longwave radiation	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5137	5137	SP	EDDY COVARIANCE		outgoing short wave radiation	W/m^2	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	WeatherDaily, WeatherStation	ave_outgoing_shortwave radiation	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5138	5138	SP	EDDY COVARIANCE	H	sensible heat flux	W/m^2	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5139	5139	SP	EDDY COVARIANCE	LE	latent heat flux	W/m^2	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5140	5140	SP	EDDY COVARIANCE		Saturated Vapor Pressure	kPa	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5141	5141	SP	EDDY COVARIANCE		Water Vapor Concentration	mmol/mol	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5142	5142	SP	EDDY COVARIANCE	water_vapor_density	Water Vapor density	mmol/m^3	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5143	5143	SP	EDDY COVARIANCE	VPD	Vapor Pressure Deficit	kPa	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5144	5144	SP	EDDY COVARIANCE		Friction Velocity	m/s	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5145	5145	SP	EDDY COVARIANCE		CO2 Concentration	umol/mol	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5146	5146	SP	EDDY COVARIANCE	co2_molar_density	CO2 Density	mmol/m^3	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5147	5147	SP	EDDY COVARIANCE	co2_flux	CO2 Flux	umol/m^2/s	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
SP5148	5148	SP	EDDY COVARIANCE	h2o_flux	Water Vapor Flux	umol/m^2/s	5 min, daily	5 minute	2013	2013	2013-01-01	Present	now	2019-12-31	7	Wagle	.xls	GRL				Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
