ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
TG5211	5211	TG	Hydrology	eline??	well level, well head, groundwater wells	ft??	Daily	1 day	2000	2000	2000-01-01	2015?	2015	2015-12-31	16		excel files	website				Open	Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	
TG5212	5212	TG	Hydrology	below surface??	well level, well head, groundwater wells	ft??	Daily	1 day	2000	2000	2000-01-01	2015?	2015	2015-12-31	16		excel files	website				Open	Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	
TG5213	5213	TG	Hydrology	water	lat??	in, ft	Daily	1 day	2000	2000	2000-01-01	2015?	2015	2015-12-31	16		excel files	website				Open	Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	
TG5214	5214	TG	Hydrology	over v??	lat??	ft	Daily	1 day	2000	2000	2000-01-01	2015?	2015	2015-12-31	16		excel files	website				Open	Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	
TG5215	5215	TG	Hydrology	flow	lat??	cfs	Daily	1 day	2000	2000	2000-01-01	2015?	2015	2015-12-31	16		excel files	website				Open	Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	
TG5216	5216	TG	Hydrology	dry-bulb temperature	Evapotranspiration, CO2 gradient, CO2 chamber	C	?		1997	1997	1997-01-01	Present	now	2019-12-31	23	Johnson, Polley, Tischler, Derner, Wilsey	?					Closed?	Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	
TG5217	5217	TG	Hydrology	dew point temperature	Evapotranspiration, CO2 gradient, CO2 chamber	C	?		1997	1997	1997-01-01	Present	now	2019-12-31	23	Johnson, Polley, Tischler, Derner, Wilsey	?					Closed?	Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	
TG5218	5218	TG	Hydrology	runoff		cfs	Subdaily, daily		1939	1939	1939-01-01	Present	now	2019-12-31	81	Smith	txt files	website				Open	Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	
TG5219	5219	TG	Hydrology	rainfall		inches	Subdaily, daily		1938	1938	1938-01-01	Present	now	2019-12-31	82	Smith	txt files	website				Open	Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	
TG5220	5220	TG	Hydrology	thiessen weights		acres	Event		1938	1938	1938-01-01	Present	now	2019-12-31	82		excel files	website				Open	Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	
TG5221	5221	TG	Land Management	plant			Event		1943	1943	1943-01-01	Present	now	2019-12-31	77	Smith	excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Plant method, operations, soils	Land Management				Farms and Farming Systems	environment	
TG5222	5222	TG	Land Management	harvest	cut, strip, combine, thrashing, topping, cotton picking		Event		1943	1943	1943-01-01	Present	now	2019-12-31	77	Smith	excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Rows harvested	Land Management				Farms and Farming Systems	environment	
TG5223	5223	TG	Land Management	pesticide	herbicide, insecticide, fungicide		Event		1943	1943	1943-01-01	Present	now	2019-12-31	77	Smith	excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Amendment added	Land Management				Farms and Farming Systems	environment	
TG5224	5224	TG	Land Management	shred	stalk cutter		Event		1943	1943	1943-01-01	Present	now	2019-12-31	77	Smith	excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Plant method, operations, soils	Land Management				Farms and Farming Systems	environment	
TG5225	5225	TG	Land Management	tillage	plow, disc, cultivate, chisel, roll, layoff, rebedded		Event		1943	1943	1943-01-01	Present	now	2019-12-31	77	Smith	excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Plant method, operations, soils	Land Management				Farms and Farming Systems	environment	
TG5226	5226	TG	Land Management	fertilize	top dress		Event		1943	1943	1943-01-01	Present	now	2019-12-31	77	Smith	excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Nitrogen, irrigation additive, no media	Land Management				Farms and Farming Systems	environment	
TG5227	5227	TG	Land Management	plowed terraces	terrace work		Event		1943	1943	1943-01-01	Present	now	2019-12-31	77	Smith	excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Plant method, operations, soils	Land Management				Farms and Farming Systems	environment	
TG5228	5228	TG	Land Management	bale			Event		1943	1943	1943-01-01	Present	now	2019-12-31	77	Smith	excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	bale	Land Management				Farms and Farming Systems	environment	
TG5229	5229	TG	Land Management	defoliate			Event		1943	1943	1943-01-01	Present	now	2019-12-31	77	Smith	excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Rows harvested	Land Management				Farms and Farming Systems	environment	
TG5230	5230	TG	Land Management	burn			Event		1943	1943	1943-01-01	Present	now	2019-12-31	77		excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Burn frequency, operation	Land Management				Farms and Farming Systems	environment	
TG5231	5231	TG	Land Management	worked waterway			Event		1943	1943	1943-01-01	Present	now	2019-12-31	77		excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Water, irrigation applied, no media	Land Management				Farms and Farming Systems	environment	
TG5232	5232	TG	Land Management	remove runoff structure			Event		1943	1943	1943-01-01	Present	now	2019-12-31	77		excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Water, irrigation applied, no media	Land Management				Farms and Farming Systems	environment	
TG5233	5233	TG	Land Management	shaulking			Event		1943	1943	1943-01-01	Present	now	2019-12-31	77		excel files	website				Open	Land Management	MgtAmendments, MgtPlanting, MgtTillage, MgtGrowthStages, MgtResidue, MgtGrazing	Row width, soil, operations	Land Management				Farms and Farming Systems	environment	
