ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
UCB5334	5334	UCB	LAND-ATMOSPHERE FLUXES (EC)	Hs	Sensible heat flux using sonic temperature	W m-2	30 minute	30 minute	6/1/2015			Present				Gonet	CSV files			6	UCB	Closed	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UCB5335	5335	UCB	LAND-ATMOSPHERE FLUXES (EC)	tau	Momentum flux	kg m-1 s-2	30 minute	30 minute	6/1/2015			Present				Gonet	CSV files			6	UCB	Closed	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UCB5336	5336	UCB	LAND-ATMOSPHERE FLUXES (EC)	u_star	Friction velocity	m s-1	30 minute	30 minute	6/1/2015			Present				Gonet	CSV files			6	UCB	Closed	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UCB5337	5337	UCB	LAND-ATMOSPHERE FLUXES (EC)	Ts_stdev	Standard deviation of sonic temperature	C	30 minute	30 minute	6/1/2015			Present				Gonet	CSV files			6	UCB	Closed	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UCB5338	5338	UCB	LAND-ATMOSPHERE FLUXES (EC)	Ts_Ux_cov	Covariance of sonic temperature and horizontal wind (x-axis)	C m s-1	30 minute	30 minute	6/1/2015			Present				Gonet	CSV files			6	UCB	Closed	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UCB5339	5339	UCB	LAND-ATMOSPHERE FLUXES (EC)	Ts_Uy_cov	Covariance of sonic temperature and horizontal wind (y-axis)	C m s-1	30 minute	30 minute	6/1/2015			Present				Gonet	CSV files			6	UCB	Closed	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UCB5340	5340	UCB	LAND-ATMOSPHERE FLUXES (EC)	Ts_Uz_cov	Covariance of sonic temperature and vertical wind	C m s-1	30 minute	30 minute	6/1/2015			Present				Gonet	CSV files			6	UCB	Closed	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UCB5341	5341	UCB	LAND-ATMOSPHERE FLUXES (EC)	Ux_stdev	Standard deviation of horizontal wind (x-axis)	m s-1	30 minute	30 minute	6/1/2015			Present				Gonet	CSV files			6	UCB	Closed	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UCB5342	5342	UCB	Gass Fraction	N2O	Nitrous Oxide fraction		Annual	1 year	1/2/2011	2011-01-02	2011-01-02	Present	now	2019-12-31	9	Saporito	Excel Sheets			12	Kepler Lysimeters	Closed	Greenhouse Gas Emissions	MeasGHGFlux	Nitrous oxide, air, daily, mean or single measurement	Greenhouse Gas Emissions				Physical and Chemical Sciences	climatologyMeteorologyAtmosphere	yes
UCB5343	5343	UCB	Gass Fraction	NH3	Ammonia fraction		Annual	1 year	1/2/2011	2011-01-02	2011-01-02	Present	now	2019-12-31	9	Saporito	Excel Sheets			12	Kepler Lysimeters	Closed	Greenhouse Gas Emissions	MeasGHGFlux	Nitrate daily, mean or single measurement	Greenhouse Gas Emissions				Physical and Chemical Sciences	climatologyMeteorologyAtmosphere	yes
