ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
																																
UMRB5989	5989	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	USTAR	Friction velocity	m/s	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB5990	5990	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	NEE	Net Ecosystem Exchange	umol/m^2/s	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB5991	5991	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	FC	Carbon Dioxide (CO2) turbulent flux	umol/m^2/s	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB5992	5992	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	SC	CO2 storage flux	umol/m^2/s	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB5993	5993	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	H	Sensible heat turbulent flux	W/m^2	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB5994	5994	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	SH	Heat storage flux in the air	W/m^2	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB5995	5995	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	LE	Latent heat turbulent flux	W/m^2	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB5996	5996	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	SLE	Latent heat storage flux	W/m^2	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB5997	5997	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	CO2	Carbon Dioxide (CO2) mole fraction in wet air	umol/mol	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB5998	5998	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	H2O	Water (H2O) vapor mole fraction	mmol/mol	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB5999	5999	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	ZL	Monin-Obukhov Stability	adimensional	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6000	6000	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	NEE_F	Gapfilled Net Ecosystem Exchange	umol/m^2/s	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6001	6001	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	RECO	Ecosystem Respiration	umol/m^2/s	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6002	6002	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	GPP	Gross Primary Productivity	umol/m^2/s	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
