LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
UMRB-Morris	Soil Sampling Mineral Analysis 2016	NH4-N	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	NO3-N	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	K	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	Olsen-P	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	%N	"soil analysis, fertility, mineral"	%	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	%C	"soil analysis, fertility, mineral"	%	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	%IC	"soil analysis, fertility, mineral"	%	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	%OC	"soil analysis, fertility, mineral"	%	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	Al 237.312          	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	Al 394.401          	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	As 188.980          	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	B 249.772           	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	Ba 455.403          	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	Be 313.107          	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	Ca 422.673          	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	Cd 214.439          	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
UMRB-Morris	Soil Sampling Mineral Analysis 2016	Co 238.892          	"soil analysis, fertility, mineral"	ppm	Annual 	11/8/2016		C. Wente	Spreadsheet	local network			Open
