LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
UMRB - St. Paul	METEOROLOGY	Air Temperature		Deg C	15 minute	10/5/2015	Present	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000		Open
UMRB - St. Paul	METEOROLOGY	Air Pressure		kPa	15 minute	10/5/2015	Present	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000		Open
UMRB - St. Paul	METEOROLOGY	Incoming longwave radiation		W/m2	15 minute	10/5/2015	Present	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000		Open
UMRB - St. Paul	METEOROLOGY	Incoming shortwave radiation		W/m2	15 minute	10/5/2015	Present	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000		Open
UMRB - St. Paul	METEOROLOGY	Photosynthetically Active Radiation		µmol/m2/s	15 minute	10/5/2015	Present	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000		Open
UMRB - St. Paul	METEOROLOGY	Relative Humidity		%	15 minute	10/5/2015	Present	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000		Open
UMRB - St. Paul	METEOROLOGY	Wind Speed		m/s	15 minute	10/5/2015	Present	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000		Open
UMRB - St. Paul	METEOROLOGY	Wind Direction		Deg	15 minute	10/5/2015	Present	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000		Open
UMRB - St. Paul	METEOROLOGY	Precipitation		mm	15 minute	10/5/2015	Present	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000		Open
UMRB - St. Paul	VEGETATION	Phenocam		NA	30 minute	1/13/2017	Present	C. Winker	Phenocam Network Web Site	Phenocam Network Web Site	rosemountconv		Open
UMRB - St. Paul	VEGETATION	Phenocam		NA	30 minute	1/13/2017	Present	C. Winker	Phenocam Network Web Site	Phenocam Network Web Site	rosemountcons		Open
UMRB - St. Paul	VEGETATION	Phenocam		NA	30 minute	10/2/2015	Present	C. Winker	Phenocam Network Web Site	Phenocam Network Web Site	rosemountnprs		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	USTAR	Friction velocity	m/s	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5 		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	NEE	Net Ecosystem Exchange	umol/m^2/s	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5 		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	FC	Carbon Dioxide (CO2) turbulent flux	umol/m^2/s	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	SC	CO2 storage flux	umol/m^2/s	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	H	Sensible heat turbulent flux	W/m^2	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	SH	Heat storage flux in the air	W/m^2	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	LE	Latent heat turbulent flux	W/m^2	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	SLE	Latent heat storage flux	W/m^2	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	CO2	Carbon Dioxide (CO2) mole fraction in wet air	umol/mol	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	H2O	Water (H2O) vapor mole fraction	mmol/mol	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	ZL	Monin-Obukhov Stability	adimensional	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	NEE_F	Gapfilled Net Ecosystem Exchange	umol/m^2/s	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	RECO	Ecosystem Respiration	umol/m^2/s	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	GPP	Gross Primary Productivity	umol/m^2/s	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	LE_F	Gapfilled Latent heat turbulent flux	W/m^2	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	TA	Air temperature	deg C	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	G	Soil heat flux	W/m^2	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	TS_1_1_1	Soil temperature	deg C	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	TS_1_2_1	Soil temperature	deg C	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	TS_1_3_1	Soil temperature	deg C	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	TS_1_4_1	Soil temperature	deg C	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	NETRAD	Net radiation	W/m^2	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	RH	Relative humidity	%	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	P	Precipitation	mm	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	VPD	Vapor pressure deficit	hpa	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	WS	Wind speed	m/s	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	SW_IN	"Shortwave radiation, incoming"	W/m^2	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	SW_OUT	"Shortwave radiation, outgoing"	W/m^2	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	LW_IN	"Longwave radiation, incoming"	W/m^2	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	LW_OUT	"Longwave radiation, outgoing"	W/m^2	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	WD	Wind direction	decimal degrees	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	PPFD_IN	"Photosynthetic photon flux density, incoming"	umol/m^2/s	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	PA	Atmospheric pressure	kPa	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	T_CANOPY	Temperature of the canopy	deg C	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	ALB	Albedo	%	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	SWC	Soil water content (volumetric)	%	30 minute	1/1/2017	Present	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5		Open
