LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
WGEW	METEOROLOGY		Precipitation (analog)	mm/in	"Event, Daily"	1/1/1953	12/31/1999	"Kautz, Armendariz, Wong"	SQL Server DB	https://www.tucson.ars.ag.gov/dap			Open
WGEW	METEOROLOGY		Precipitation (digital)	mm/in	"Event, 15-Min, Daily"	1/1/2000	Present	"Kautz, Armendariz, Wong"	SQL Server DB	"https://www.tucson.ars.ag.gov/dap, https://ltar.nal.usda.gov/"	"WGEW-081, WGEW-082m WGEW-083, WGEW-423"		Open
WGEW	HYDROLOGY		Runoff volume (analog)	mm/in/cf	"Event, Daily"	1/1/1953	12/31/1999	"Kautz, Armendariz, Wong"	SQL Server DB	https://www.tucson.ars.ag.gov/dap			Open
WGEW	HYDROLOGY		Runoff rate (analog)	in/hr	"Event, Daily"	1/1/1953	12/31/1999	"Kautz, Armendariz, Wong"	SQL Server DB	https://www.tucson.ars.ag.gov/dap			Open
WGEW	HYDROLOGY		Runoff volume (digital)	mm/in/cf	"Event, Daily"	1/1/2000	Present	"Kautz, Armendariz, Wong"	SQL Server DB	https://www.tucson.ars.ag.gov/dap			Open
WGEW	HYDROLOGY		Runoff rate(digital)	in/hr	"Event, Daily"	1/1/2000	Present	"Kautz, Armendariz, Wong"	SQL Server DB	https://www.tucson.ars.ag.gov/dap			Open
WGEW	HYDROLOGY		"Sediment yield, Concentration(weighted fraction solids)"	lbs/kg	"Daily, Event"	"7/24/1975 (SR), 7/18/1995(WG)"	Present	"Kautz, Armendariz, Wong"	SQL Server DB	https://www.tucson.ars.ag.gov/dap			Open
WGEW	HYDROLOGY		Sediment (Event Volume (Including Spill Vol) cubic meter)	cubic meters	"Daily, Event"	1/1/2004	12/31/2012	"Kautz, Armendariz, Wong"	SQL Server DB				Closed
WGEW	METEOROLOGY		Soil heat flux	W/m2	30 minute	1996	Present	"Kautz, Armendariz, Wong"	"SQL Server DB, CSV"	ftp://www-ftp.tucson.ars.ag.gov/metDAP/			Open
WGEW	METEOROLOGY		Incoming photosynthetically active radiation	umol/m2/s	30 minute	"8/16/90,8/16/90,8/5/97, 5/18/95"	Present	"Kautz, Armendariz, Wong"	"SQL Server DB, CSV"	"ftp://www-ftp.tucson.ars.ag.gov/metDAP/, https://ltar.nal.usda.gov/"	"WGEW-081, WGEW-082, WGEW-083, WGEW-423"		Open
WGEW	METEOROLOGY		Outgoing photosynthetically active radiation	umol/m2/s	30 minute	"8/16/90,8/16/90,8/5/97"	Present	"Kautz, Armendariz, Wong"	CSV				Closed
WGEW	METEOROLOGY		Barometric pressure	kPa	30 minute	"8/16/90,8/16/90,8/5/97, 5/18/95"	Present	"Kautz, Armendariz, Wong"	"SQL Server DB, CSV"	"ftp://www-ftp.tucson.ars.ag.gov/metDAP/, https://ltar.nal.usda.gov/"	"WGEW-081, WGEW-082m WGEW-083, WGEW-423"		Open
WGEW	METEOROLOGY		Incoming solar radiation	W/m2	30 minute	"8/16/90,8/16/90,8/5/97, 5/18/95"	Present	"Kautz, Armendariz, Wong"	"SQL Server DB, CSV"	ftp://www-ftp.tucson.ars.ag.gov/metDAP/			Open
WGEW	METEOROLOGY		Relative humidity of air	%	15 and 30 minute	"8/16/90,8/16/90,8/5/97, 5/18/95"	Present	"Kautz, Armendariz, Wong"	"SQL Server DB, CSV"	ftp://www-ftp.tucson.ars.ag.gov/metDAP/			Open
WGEW	METEOROLOGY		Soil moisture volumetric content (5cm)	%	30 minute	1996	Present	"Kautz, Armendariz, Wong"	"SQL Server DB, CSV"	ftp://www-ftp.tucson.ars.ag.gov/metDAP/			Open
WGEW	METEOROLOGY		Soil moisture volumetric content (15cm)	%	30 minute	1996	Present	"Kautz, Armendariz, Wong"	"SQL Server DB, CSV"	ftp://www-ftp.tucson.ars.ag.gov/metDAP/			Open
