TYPE	TABLE	COLUMN	ParameterDescription	Low	High	Units	Nullable	ACCESS Field types	Precision	Scale	Maxlength	TABLE LAST DET	COLUMN From AgAR v2017.05.0008 (6/2/2017)
Background	Overview	Site ID	Site identifier	a	z	none	NO	Memo	---	---	63999	Overview	Site ID
Background	Overview	Site ID Descriptor	Site description	a	z	none	YES	Memo	---	---	63999	Overview	Site ID Descriptor
Background	Overview	Research Unit	Unit location	a	z	none	YES	Memo	---	---	63999	Overview	Research Unit
Background	Overview	Dataset Name	Short name of the dataset	a	z	none	YES	Memo	---	---	63999	Overview	Project Name
Background	Overview	Dataset Descriptor	Describle the dataset	a	z	none	YES	Memo	---	---	63999	Overview	Experiment Name
Background	Overview	Funding Source	Funding Source	a	z	none	NO	Memo			63999	Overview	Funding Source
Background	Overview	Start Date	Start date	1/1/1900	10/19/2018	mm/dd/yyyy	NO	Date/Time	---	---	---	Overview	Start Date
Background	Overview	End Date	End date	1/1/1900	10/19/2018	mm/dd/yyyy	NO	Date/Time	---	---	---	Overview	End Date
Background	Overview	Duration of Dataset	"Duration of experiment, number of years"	0	100	number of years	YES	Long Integer				Overview	Duration of Study
---	---	---	---	---	---	---	---	---	---	---	---	---	---
Background	FieldSites	Site ID	Site identifier	a	z	none	NO	Memo	---	---	63999	FieldSites	Site ID
Background	FieldSites	Date	Start date	1/1/1900	10/19/2018	mm/dd/yyyy	YES	Date/Time	---	---	---	FieldSites	Date
Background	FieldSites	MLRA	Major land resource area code	a	z	none	YES	Memo	---	---	63999	FieldSites	MLRA
Background	FieldSites	Field ID	Field identifier	a	z	none	NO	Memo	---	---	63999	FieldSites	Field ID
Background	FieldSites	Country	ISO country code	a	z	none	YES	Memo	---	---	63999	FieldSites	Country
Background	FieldSites	State/Province	State or Province	a	z	none	YES	Memo	---	---	63999	FieldSites	State/Province
Background	FieldSites	County	County	a	z	none	YES	Memo	---	---	63999	FieldSites	County
Background	FieldSites	City	City	a	z	none	YES	Memo	---	---	63999	FieldSites	City
Background	FieldSites	Postal Code	Postal Code	a	z	none	YES	Alpha numeric	---	---	63999	FieldSites	Postal Code
Background	FieldSites	Latitude decimal deg	"Latitude, decimal degrees"	-75	75	decimal degrees	YES	decimal	9	6	---	FieldSites	"Latitude, decimal deg"
Background	FieldSites	Longitude decimal deg	"Longitude, decimal degrees"	-180	180	decimal degrees	YES	decimal	9	6	---	FieldSites	"Longitude, decimal deg"
Background	FieldSites	Spatial Description	Spatial Description	a	z	none							
Background	FieldSites	Elevation m	"Elevation, meters"	-50	5000	m	YES	Long Integer	---	---	---	FieldSites	"Elevation, m"
Background	FieldSites	MAP mm	"Precipitation, annual, mean, millimeters"	10	5000	mm	YES	decimal	9	1	---	FieldSites	"MAP, mm"
Background	FieldSites	MAT degC	"Temperature, annual, mean, degrees Celsius"	-10	30	degrees Celsius	YES	decimal	9	1	---	FieldSites	"MAT, degC"
Background	FieldSites	Native Veg	Native vegetation	a	z	none	YES	Memo	---	---	63999	FieldSites	Native Veg
Background	FieldSites	Site History	Site history	a	z	none	YES	Memo	---	---	63999	FieldSites	Site History
---	---	---	---	---	---	---	---	---	---	---	---	---	---
Background	Persons	Site ID	Site identifier	a	z	none	NO	Memo	---	---	63999	Persons	Site ID
Background	Persons	Last Name	Last name	a	z	none	YES	Memo	---	---	63999	Persons	Last Name
Background	Persons	First Name	First name	a	z	none	YES	Memo	---	---	63999	Persons	First Name
Background	Persons	Middle Name	Middle name	a	z	none	YES	Memo	---	---	63999	Persons	Middle Name
Background	Persons	Suffix	Suffix	a	z	none	YES	Memo	---	---	63999	Persons	Suffix
Background	Persons	Role in Study	Role	a	z	none	YES	Memo	---	---	63999	Persons	Role in Study
Background	Persons	Primary Contact	Contact	a	z	none	YES	Memo	---	---	63999	Persons	Primary Contact
Background	Persons	Department	Department	a	z	none	YES	Memo	---	---	63999	Persons	Department
Background	Persons	Organization	Organization	a	z	none	YES	Memo	---	---	63999	Persons	Organization
Background	Persons	Date Created	Creation date	1/1/1900	10/19/2018	mm/dd/yyyy	YES	Date/Time	---	---	---	Persons	Date Created
