ID,RowID,LTARSite.Code,Category,DataSetVariableName,AttributeDescription,Units,TemporalResolution,TemporalResolutionStandard,StartDate,StartDateStandard,StartDateAgCROS,EndDate,EndDateStandard,EndDateAgCros,DateDif_yrs,ResponsiblePersons,StorageFormat,URLdataAccess,LocationIDoutsideNetwork,SpatialRepeats,SpatialDescription,PublicAccess,Network.Category,AgCROS.Table,AgCROS.VarName,NALT.Keywords,subsite,Repo.Name,Model.Name,NALT.Subject,ISO.Topic,Common.Experiment,trl
ABS-UF0001,,ABS-UF,Eddy Covariance,Air density,,kg/m3,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",Air density,Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0002,,ABS-UF,Eddy Covariance,Avg ambient temperature,,C,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Temperature, air, daily, mean",Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0003,,ABS-UF,Eddy Covariance,CO2 conc,,W/m2,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",unresolved,Meteorology,,,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0004,,ABS-UF,Eddy Covariance,CO2 flux,,W/m2,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",unresolved,Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0005,,ABS-UF,Eddy Covariance,Friction velocity,,m/s,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",unresolved,Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0006,,ABS-UF,Eddy Covariance,H2O conc,,W/m2,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",unresolved,Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0007,,ABS-UF,Eddy Covariance,Latent heat flux,,W/m2,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Heat, flux",Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0008,,ABS-UF,Eddy Covariance,Saturated vapour pressure,,kPa,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",saturated vapor pressure,Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0009,,ABS-UF,Eddy Covariance,Soil conductivity,,dS/m,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Soil electrical conductivity, soil",Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0010,,ABS-UF,Eddy Covariance,Sonic temp corrected for humidity,,C,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Temperature, air, daily, mean",Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0011,,ABS-UF,Eddy Covariance,Vapour density,,g/m3,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",unresolved,Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0012,,ABS-UF,Eddy Covariance,Vapour pressure,,kPa,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","vapor pressure, mean",Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0013,,ABS-UF,Eddy Covariance,Albedo,,arb,30 min,30 minute,2012,2012,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",Albedo,Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0014,,ABS-UF,Eddy Covariance,Longwave radiation,"net, max, min",W/m2,30 min,30 minute,2012,2012,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",ave_incoming_longwave radiation,Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0015,,ABS-UF,Eddy Covariance,Net radiation,,W/m2,30 min,30 minute,2012,2012,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","radiation, net, timestep, mean",Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0016,,ABS-UF,Eddy Covariance,Sensible heat flux,,W/m2,30 min,30 minute,2012,2012,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Heat, flux",Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0017,,ABS-UF,Eddy Covariance,Shortwave radiation,"net, max, min",W/m2,30 min,30 minute,2012,2012,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",ave_incoming_shortwave radiation,Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0018,,ABS-UF,Eddy Covariance,T dew,,C,30 min,30 minute,2012,2012,,Present,now,,,,.dat files,,,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Dew point, air, daily, mean",Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0019,,ABS-UF,Eddy Covariance,CH4 conc,,W/m2,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Meteorology,AmeriFlux,unresolved,Meteorology,,,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0020,,ABS-UF,Eddy Covariance,CH4 flux,,W/m2,30 min,30 minute,2016,2016,,Present,now,,,,.dat files,,,5,EC towers,Closed,Meteorology,AmeriFlux,unresolved,Meteorology,,NAL Met Data Dashboard,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,30 min
ABS-UF0021,,ABS-UF,Evapotranspiration,height,"evapotranspiration, shadehouse experiment",cm/day,weekly,1 week,01/01/2018,2018-01-01,,12/31/2018,2018-12-31,,,Amartya Saha,excel files,,,1,shadehouse,Open,Meteorology,"WeatherDaily, WeatherStation","Evaporation, open pan, no media, daily","Hydrology, Evapotranspiration",,,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,weekly
ABS-UF0022,,ABS-UF,Evapotranspiration,weight,"evapotranspiration, shadehouse experiment",g/day,3 times/week,0 week,01/01/2018,2018-01-01,,12/31/2018,2018-12-31,,,Amartya Saha,excel files,,,1,shadehouse,Open,Meteorology,"WeatherDaily, WeatherStation",unresolved,"Hydrology, Evapotranspiration",,,,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,,3 times/week
ABS-UF0023,,ABS-UF,Forage,plant height,"pre-burn, post-burn, post-stocking, biomass, aboveground",cm,Irregular,,2016,2016,,Present,now,,,,"excel files, access db",,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Plant Height,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0024,,ABS-UF,Forage,phosphorus,"biomass, forage, hay, baseline P",%,Irregular,,2016,2016,,Present,now,,,,"excel files, access db",,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Phosphorus,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0025,,ABS-UF,Forage,productivity,"pre-burn, post-burn, post-stocking, biomass, aboveground",g/m2,Irregular,,2016,2016,,Present,now,,,,"excel files, access db",,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0026,,ABS-UF,Forage,crude protein,"variable stocking rate, biomass, aboveground",%,monthly,1 month,1999,1999,,2003,2003,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",crude protein,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0027,,ABS-UF,Forage,in vitro organic matter digestibility,"variable stocking rate, biomass, aboveground, ivomd",%,monthly,1 month,1999,1999,,2003,2003,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",unresolved,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0028,,ABS-UF,Forage,phosphorus,"variable stocking rate, biomass, aboveground",%,monthly,1 month,1999,1999,,2003,2003,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Phosphorus,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0029,,ABS-UF,Forage,phosphorus,"variable stocking rate, biomass, belowground",%,monthly,1 month,1999,1999,,2003,2003,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Phosphorus,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0030,,ABS-UF,Forage,carbon,"variable stocking rate, biomass, aboveground",%,monthly,1 month,1999,1999,,2003,2003,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Carbon, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0031,,ABS-UF,Forage,carbon,"variable stocking rate, biomass, belowground",%,monthly,1 month,1999,1999,,2003,2003,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Carbon, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0032,,ABS-UF,Forage,productivity,"variable stocking rate, biomass, aboveground",kg/ha,monthly,1 month,1999,1999,,2003,2003,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0033,,ABS-UF,Forage,productivity,"variable stocking rate, biomass, belowground",kg/ha,monthly,1 month,1999,1999,,2003,2003,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0034,,ABS-UF,Forage,nitrogen,"variable stocking rate, biomass, aboveground",%,monthly,1 month,1999,1999,,2003,2003,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Nitrogen, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0035,,ABS-UF,Forage,nitrogen,"variable stocking rate, biomass, belowground",%,monthly,1 month,1999,1999,,2003,2003,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Nitrogen, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0036,,ABS-UF,Forage,productivity,"biomass, aboveground, variable stocking rate, forage quality",g/m2,monthly,1 month,2016,2016,,Present,now,,,,"excel files, access db",,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0037,,ABS-UF,Forage,in vitro organic matter digestibility,"biomass, aboveground, variable stocking rate, forage quality",%,monthly,1 month,2016,2016,,Present,now,,,,"excel files, access db",,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",unresolved,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0038,,ABS-UF,Forage,nitrogen,"biomass, aboveground, variable stocking rate, forage quality",%,monthly,1 month,2016,2016,,Present,now,,,,"excel files, access db",,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Nitrogen, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0039,,ABS-UF,Forage,organic matter,"biomass, aboveground, variable stocking rate, forage quality",%,monthly,1 month,2016,2016,,Present,now,,,,"excel files, access db",,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",unresolved,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0040,,ABS-UF,Forage,crude protein,"biomass, aboveground, variable stocking rate, forage quality",%,monthly,1 month,2016,2016,,Present,now,,,,"excel files, access db",,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",crude protein,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0041,,ABS-UF,Forage,phosphorus,"biomass, aboveground, variable stocking rate, forage quality",%,monthly,1 month,2016,2016,,Present,now,,,,"excel files, access db",,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Phosphorus,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,monthly
ABS-UF0042,,ABS-UF,Forage,crude protein,"forage quality, biomass, RCREC",g/kg,Irregular,,2007,2007,,Present,now,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",crude protein,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0043,,ABS-UF,Forage,digestibility,"forage quality, biomass, RCREC",g/kg,Irregular,,2007,2007,,Present,now,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",digestibility,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0044,,ABS-UF,Forage,lignin,"forage quality, biomass, RCREC",g/kg,Irregular,,2007,2007,,Present,now,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Lignin, biomass, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0045,,ABS-UF,Forage,productivity,"biomass, RCREC, aboveground",kg/ha,Irregular,,2007,2007,,Present,now,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0046,,ABS-UF,Forage,productivity,"biomass, RCREC, belowground",kg/ha,Irregular,,2010,2010,,2011,2011,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0047,,ABS-UF,Forage,productivity,"biomass, RCREC, belowground",kg/ha,Irregular,,2017,2017,,Present,now,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0048,,ABS-UF,Forage,carbon,"biomass, aboveground, litter, RCREC",g/kg,Irregular,,2007,2007,,Present,now,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Carbon, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0049,,ABS-UF,Forage,nitrogen,"biomass, aboveground, litter, RCREC",g/kg,Irregular,,2007,2007,,Present,now,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Nitrogen, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
