Sort,ID,RowID,LTARSiteCode,Category,DataSetVariableName,AttributeDescription,Units,TemporalResolution,TemporalResolutionStandard,StartDate,StartDateStandard,StartDateAgCROS,EndDate,EndDateStandard,EndDateAgCros,DateDif_yrs,ResponsiblePersons,StorageFormat,URLdataAccess,LocationIDoutsideNetwork,SpatialRepeats,SpatialDescription,PublicAccess,Network.Category,AgCROS.Table,AgCROS.VarName,NALTKeywords,subsite,RepoName,ModelName,NALTSubject,ISOTopic,CommonExperiment,trl,AgCROS.VarNameC
1,ABS-UF0001,NA,ABS-UF,Eddy Covariance,Air density,NA,kg/m3,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",Air density,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
2,ABS-UF0002,NA,ABS-UF,Eddy Covariance,Avg ambient temperature,NA,C,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Temperature, air, daily, mean",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,temperature
3,ABS-UF0003,NA,ABS-UF,Eddy Covariance,CO2 conc,NA,W/m2,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Carbon dioxide, air, daily, mean or single measurement",Meteorology,NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
4,ABS-UF0004,NA,ABS-UF,Eddy Covariance,CO2 flux,NA,W/m2,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Carbon dioxide, air, daily, mean or single measurement",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
5,ABS-UF0005,NA,ABS-UF,Eddy Covariance,Friction velocity,NA,m/s,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",Friction velocity,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
6,ABS-UF0006,NA,ABS-UF,Eddy Covariance,H2O conc,NA,W/m2,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",unresolved,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,Vapor Pressure
7,ABS-UF0007,NA,ABS-UF,Eddy Covariance,Latent heat flux,NA,W/m2,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Heat, flux",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
8,ABS-UF0008,NA,ABS-UF,Eddy Covariance,Saturated vapour pressure,NA,kPa,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",saturated vapor pressure,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
9,ABS-UF0009,NA,ABS-UF,Eddy Covariance,Soil conductivity,NA,dS/m,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Soil electrical conductivity, soil",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
10,ABS-UF0010,NA,ABS-UF,Eddy Covariance,Sonic temp corrected for humidity,NA,C,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Temperature, air, daily, mean",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,temperature
