"","ID","RowID","LTARSite.Code","Category","DataSetVariableName","AttributeDescription","Units","TemporalResolution","TemporalResolutionStandard","StartDate","StartDateStandard","StartDateAgCROS","EndDate","EndDateStandard","EndDateAgCros","DateDif_yrs","ResponsiblePersons","StorageFormat","URLdataAccess","LocationIDoutsideNetwork","SpatialRepeats","SpatialDescription","PublicAccess","Network.Category","AgCROS.Table","AgCROS.VarName","NALT.Keywords","subsite","Repo.Name","Model.Name","NALT.Subject","ISO.Topic","Common.Experiment"
"1","ABS-UF",NA,"ABS-UF","Eddy Covariance","Air density","","kg/m3","30 min","30 minute","2016","2016","2016-01-01","Present","now","2019-12-31",4,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","Air density","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"2","ABS-UF",NA,"ABS-UF","Eddy Covariance","Avg ambient temperature","","C","30 min","30 minute","2016","2016","2016-01-01","Present","now","2019-12-31",4,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","Temperature, air, daily, mean","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"3","ABS-UF",NA,"ABS-UF","Eddy Covariance","CO2 conc","","W/m2","30 min","30 minute","2016","2016","2016-01-01","Present","now","2019-12-31",4,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","unresolved","Meteorology",NA,"",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"4","ABS-UF",NA,"ABS-UF","Eddy Covariance","CO2 flux","","W/m2","30 min","30 minute","2016","2016","2016-01-01","Present","now","2019-12-31",4,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","unresolved","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"5","ABS-UF",NA,"ABS-UF","Eddy Covariance","Friction velocity","","m/s","30 min","30 minute","2016","2016","2016-01-01","Present","now","2019-12-31",4,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","unresolved","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"6","ABS-UF",NA,"ABS-UF","Eddy Covariance","H2O conc","","W/m2","30 min","30 minute","2016","2016","2016-01-01","Present","now","2019-12-31",4,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","unresolved","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"7","ABS-UF",NA,"ABS-UF","Eddy Covariance","Latent heat flux","","W/m2","30 min","30 minute","2016","2016","2016-01-01","Present","now","2019-12-31",4,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","Heat, flux","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"8","ABS-UF",NA,"ABS-UF","Eddy Covariance","Saturated vapour pressure","","kPa","30 min","30 minute","2016","2016","2016-01-01","Present","now","2019-12-31",4,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","saturated vapor pressure","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"9","ABS-UF",NA,"ABS-UF","Eddy Covariance","Soil conductivity","","dS/m","30 min","30 minute","2016","2016","2016-01-01","Present","now","2019-12-31",4,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","Soil electrical conductivity, soil","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"10","ABS-UF",NA,"ABS-UF","Eddy Covariance","Sonic temp corrected for humidity","","C","30 min","30 minute","2016","2016","2016-01-01","Present","now","2019-12-31",4,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","Temperature, air, daily, mean","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"11","ABS-UF",NA,"ABS-UF","Eddy Covariance","Vapour density","","g/m3","30 min","30 minute","2016","2016","2016-01-01","Present","now","2019-12-31",4,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","unresolved","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"12","ABS-UF",NA,"ABS-UF","Eddy Covariance","Vapour pressure","","kPa","30 min","30 minute","2016","2016","2016-01-01","Present","now","2019-12-31",4,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","vapor pressure, mean","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"13","ABS-UF",NA,"ABS-UF","Eddy Covariance","Albedo","","arb","30 min","30 minute","2012","2012","2012-01-01","Present","now","2019-12-31",8,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","Albedo","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
"14","ABS-UF",NA,"ABS-UF","Eddy Covariance","Longwave radiation","net, max, min","W/m2","30 min","30 minute","2012","2012","2012-01-01","Present","now","2019-12-31",8,"",".dat files","",NA,"5","EC towers","Closed","Eddy Covariance","AmeriFlux, MeasGHGFlux","ave_incoming_longwave radiation","Meteorology",NA,"NAL Met Data Dashboard",NA,"Natural Resources, Earth and Environmental Sciences","climatologyMeteorologyAtmosphere",NA
