"LTARSite.Code"	"Category"	"DataSetVariableName"	"AttributeDescription"	"Units"	"TemporalResolution"	"StartDate"	"EndDate"	"ResponsiblePersons"	"StorageFormat"	"URLdataAccess"	"LocationIDoutsideNetwork"	"SpatialExtentDescription"	"PublicAccess"	"Network.Category"	"AgCROS.Table"	"AgCROS.VarName"	"Repo.Name"	"subsite"	"NALT.Keywords"	"Model.Name"
"1"	"CPER"	"Vegetation"	"AGM_Jun_Structure"	"Pasture vegetation  visual obstruction reading (biomass)"	"kg/ha"	"seasonal"	"2013"	"2017"	"David Augustine, Justin Derner, Nicole Kaplan"	"Access Database"	NA	NA	"Central Plains Experimental Range, Nunn, Colorado"	"Closed"	"Vegetation"	"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction"	""	""	""	""	NA
"2"	"CPER"	"Vegetation"	"AGM_Oct_Residue"	"Pasture vegetation  visual obstruction reading (biomass)"	"kg/ha"	"seasonal"	"2013"	"2017"	"David Augustine, Justin Derner, Nicole Kaplan"	"Access Database"	NA	NA	"Central Plains Experimental Range, Nunn, Colorado"	"Closed"	"Vegetation"	"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction"	""	""	""	""	NA
"3"	"CPER"	"Vegetation"	"AGM_BasalPINS"	"Pasture vegetaion cover from line point intercepts"	"percent"	"annual"	"2013"	"2017"	"David Augustine, Justin Derner, Nicole Kaplan"	"Access Database"	NA	NA	"Central Plains Experimental Range, Nunn, Colorado"	"Closed"	"Vegetation"	"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction"	""	""	""	""	NA
"4"	"CPER"	"Vegetation"	"AGM_CanopyPINS"	"Pasture vegetaion cover from line point intercepts"	"percent"	"annual"	"2013"	"2017"	"David Augustine, Justin Derner, Nicole Kaplan"	"Access Database"	NA	NA	"Central Plains Experimental Range, Nunn, Colorado"	"Closed"	"Vegetation"	"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction"	""	""	""	""	NA
"5"	"CPER"	"Vegetation"	"AGM_Biomass"	"Biomass harvested by functional group"	"g/m2"	"annual"	"2013"	"2017"	"David Augustine, Justin Derner, Nicole Kaplan"	"Access Database"	NA	NA	"Central Plains Experimental Range, Nunn, Colorado"	"Closed"	"Vegetation"	"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction"	""	""	""	""	NA
"6"	"CPER"	"Vegetation"	"AGM_ShrubDensity"	"Densities of shurbs"	"count"	"annual"	"2013"	"2017"	"David Augustine, Justin Derner, Nicole Kaplan"	"Access Database"	NA	NA	"Central Plains Experimental Range, Nunn, Colorado"	"Closed"	"Vegetation"	"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction"	""	""	""	""	NA
"7"	"CPER"	"Vegetation"	"AGM_ATCA_ShrubDimesions"	"Dimensions of Atriplex canescens (four-winged saltbush)"	"cm"	"annual"	"2013"	"2017"	"David Augustine, Justin Derner, Nicole Kaplan"	"Access Database"	NA	NA	"Central Plains Experimental Range, Nunn, Colorado"	"Closed"	"Vegetation"	"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction"	""	""	""	""	NA
"8"	"CPER"	"Vegetation"	"AGM_CELA_ShrubDimesions"	"Dimensions of Celatoides lanata (winterfat)"	"cm"	"annual"	"2013"	"2017"	"David Augustine, Justin Derner, Nicole Kaplan"	"Access Database"	NA	NA	"Central Plains Experimental Range, Nunn, Colorado"	"Closed"	"Vegetation"	"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction"	""	""	""	""	NA
"9"	"CPER"	"Vegetation"	"AGM_CirQuad"	"Nest vegetation species richness"	"count/m2"	"annual"	"2013"	"2017"	"David Augustine, Justin Derner, Nicole Kaplan"	"Access Database"	NA	NA	"Central Plains Experimental Range, Nunn, Colorado"	"Closed"	"Vegetation"	"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction"	""	""	""	""	NA
"10"	"CPER"	"Vegetation"	"anpp"	"vegetation by species (1983-2008; 2014-2017) and by functional group (2009, 2010, 2011, 2012) "	"g/m2"	"annual"	"1983"	"2017"	"David Augustine, Justin Derner, Nicole Kaplan"	"Access Database"	NA	NA	"Central Plains Experimental Range, Nunn, Colorado"	"Open"	"Vegetation"	"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction"	""	""	""	""	NA
"11"	"CPER"	"Vegetation"	"GZTX_NPP"	"vegetation by species (1992-2008)  and by functional group (2009, 2010, 2011, 2012-2017) "	"g/m2"	"annual"	"1992"	"2015"	"David Augustine, Justin Derner, Nicole Kaplan"	"Access Database"	NA	NA	"Central Plains Experimental Range, Nunn, Colorado"	"Open"	"Vegetation"	"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction"	""	""	""	""	NA
"12"	"CPER"	"Vegetation"	"GZTX_CanCov"	"Canopy cover of vegetaion by species"	"g/m2"	"annual"	"2009"	"2015"	"David Augustine, Justin Derner, Nicole Kaplan"	"Access Database"	NA	NA	"Central Plains Experimental Range, Nunn, Colorado"	"Open"	"Vegetation"	"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction"	""	""	""	""	NA
