"TYPE"	"TABLE"	"AgCROS.VarName"	"ParameterDescription"	"Units"
"1"	"Measurement"	"MeasGrazingPlants"	"AboveGr Bio C kgC/ha"	"Carbon, aboveground live, plant tissue, mean or single measurement, kilograms of carbon per hectare"	"kg C/ha"
"2"	"Measurement"	"MeasGrazingPlants"	"AboveGr Bio C STD kgC/ha"	"Carbon, aboveground live, plant tissue, StdDev, kilograms of carbon per hectare"	"kg C/ha"
"3"	"Measurement"	"MeasGrazingPlants"	"AboveGr Bio kg/ha (dry)"	"Biomass, aboveground live, plant tissue, mean or single measurement, kilograms per hectare"	"kg/ha (dryweight)"
"4"	"Measurement"	"MeasGrazingPlants"	"AboveGr Bio N kgN/ha"	"Nitrogen, aboveground live, plant tissue, mean or single measurement, kilograms of nitrogen per hectare"	"kg N/ha"
"5"	"Measurement"	"MeasGrazingPlants"	"AboveGr Bio N STD kgN/ha"	"Nitrogen, aboveground live, plant tissue, StdDev, kilograms of nitrogen per hectare"	"kg N/ha"
"6"	"Measurement"	"MeasGrazingPlants"	"AboveGr Bio STD kg/ha (dry)"	"Biomass, aboveground live, plant tissue, StdDev, kilograms per hectare"	"kg/ha (dryweight)"
"7"	"Measurement"	"MeasGrazingPlants"	"ANPP C kgC/ha/yr"	"Carbon, aboveground NPP, plant tissue, yearly, mean or single measurement, kilograms of carbon per hectare"	"kg C/ha/yr"
"8"	"Measurement"	"MeasGrazingPlants"	"ANPP C STD kgC/ha/yr"	"Carbon, aboveground NPP, plant tissue, yearly, StdDev, kilograms of carbon per hectare"	"kg C/ha/yr"
"9"	"Measurement"	"MeasGrazingPlants"	"ANPP N kgN/ha/yr"	"Nitrogen, aboveground NPP, plant tissue, yearly, mean or single measurement, kilograms of nitrogen per hectare"	"kg N/ha/yr"
"10"	"Measurement"	"MeasGrazingPlants"	"ANPP N STD kgN/ha/yr"	"Nitrogen, aboveground NPP, plant tissue, yearly, StdDev, kilograms of nitrogen per hectare"	"kg N/ha/yr"
"11"	"Measurement"	"MeasGrazingPlants"	"BelowGr Bio C kgC/ha"	"Carbon, belowground live, plant tissue, mean or single measurement, kilograms of carbon per hectare"	"kg C/ha"
"12"	"Measurement"	"MeasGrazingPlants"	"BelowGr Bio C STD kgC/ha"	"Carbon, belowground live, plant tissue, StdDev, kilograms of carbon per hectare"	"kg C/ha"
"13"	"Measurement"	"MeasGrazingPlants"	"BelowGr Bio N kgN/ha"	"Nitrogen, belowground live, plant tissue, mean or single measurement, kilograms of nitrogen per hectare"	"kg N/ha"
"14"	"Measurement"	"MeasGrazingPlants"	"BelowGr Bio N STD kgN/ha"	"Nitrogen, belowground live, plant tissue, StdDev, kilograms of nitrogen per hectare"	"kg N/ha"
"15"	"Measurement"	"MeasGrazingPlants"	"Biomass N %"	"Nitrogen, biomass, plant tissue, mean or single measurement, percent"	"% (N mass/biomass mass*100)"
"16"	"Measurement"	"MeasGrazingPlants"	"Biomass N STD %"	"Nitrogen, biomass, plant tissue, StdDev, percent"	"% (N mass/biomass mass*100)"
"17"	"Measurement"	"MeasGrazingPlants"	"BNPP C kgC/ha/yr"	"Carbon, belowground NPP, plant tissue, yearly, mean or single measurement, kilograms of carbon per hectare"	"kg C/ha/yr"
"18"	"Measurement"	"MeasGrazingPlants"	"BNPP C STD kgC/ha/yr"	"Carbon, belowground NPP, plant tissue, yearly, StdDev, kilograms of carbon per hectare"	"kg C/ha/yr"
"19"	"Measurement"	"MeasGrazingPlants"	"BNPP N kgN/ha/yr"	"Nitrogen, belowground NPP, plant tissue, yearly, mean or single measurement, kilograms of nitrogen per hectare"	"kg N/ha/yr"
"20"	"Measurement"	"MeasGrazingPlants"	"BNPP N STD kgN/ha/yr"	"Nitrogen, belowground NPP, plant tissue, yearly, StdDev, kilograms of nitrogen per hectare"	"kg N/ha/yr"
"21"	"Measurement"	"MeasGrazingPlants"	"Broadleaf vs Grass"	"Leaf type"	"none"
"22"	"Measurement"	"MeasGrazingPlants"	"Date"	"Date"	"mm/dd/yyyy"
"23"	"Measurement"	"MeasGrazingPlants"	"Exp Unit ID"	"Experimental Unit ID"	"none"
"24"	"Measurement"	"MeasGrazingPlants"	"Ground Cover %"	"Ground cover, vegetated, none, mean or single measurement, fraction of land area, percent"	"% (surface area of vegetation/surface area of land)"
"25"	"Measurement"	"MeasGrazingPlants"	"Ground Cover STD %"	"Ground cover, vegetated, none, StdDev, fraction of land area, percent"	"% (surface area of vegetation/surface area of land)"
"26"	"Measurement"	"MeasGrazingPlants"	"Growth Stage"	"Growth stage, harvest"	"none"
"27"	"Measurement"	"MeasGrazingPlants"	"LAI kg/ha (dry)"	"Leaf area index, live, none, mean or single measurement, fraction of land area, kilograms per hectare"	"surface area of leaves/surface area of land"
"28"	"Measurement"	"MeasGrazingPlants"	"LAI STD kg/ha"	"Leaf area index, live, none, StdDev, fraction of land area, kilograms per hectare"	"surface area of leaves/surface area of land"
"29"	"Measurement"	"MeasGrazingPlants"	"Lignin %"	"Lignin, biomass, plant tissue, mean or single measurement, percent"	"% (lignin mass/biomass mass*100)"
"30"	"Measurement"	"MeasGrazingPlants"	"Lignin STD %"	"Lignin, biomass, plant tissue, StdDev, percent"	"% (lignin mass/biomass mass*100)"
"31"	"Measurement"	"MeasGrazingPlants"	"Species Mix"	"Species composition"	"none"
"32"	"Measurement"	"MeasGrazingPlants"	"Standing Dead kg/ha (dry)"	"Biomass, aboveground dead, plant tissue, mean or single measurement, kilograms per hectare"	"kg/ha (dryweight)"
"33"	"Measurement"	"MeasGrazingPlants"	"Standing Dead STD kg/ha (dry)"	"Biomass, aboveground dead, plant tissue, StdDev, kilograms per hectare"	"kg/ha (dryweight)"
"34"	"Measurement"	"MeasGrazingPlants"	"Surface Litter kg/ha (dry)"	"Biomass, surface litter, plant tissue, mean or single measurement, kilograms per hectare"	"kg/ha (dryweight)"
"35"	"Measurement"	"MeasGrazingPlants"	"Surface Litter STD kg/ha (dry)"	"Biomass, surface litter, plant tissue, StdDev, kilograms per hectare"	"kg/ha (dryweight)"
"36"	"Measurement"	"MeasGrazingPlants"	"Treatment ID"	"Treatment identifier"	"none"
