"RowID","TYPE","TABLE","AgCROS.VarName","ParameterDescription","Units"
"1","Measurement","MeasResidueMgnt","Above G Biomass kg/ha","Biomass, aboveground, plant tissue, mean or single measurement, kilograms per hectare","kg biomass/ha"
"2","Measurement","MeasCropNutrientCycling","Above G Biomass kg/ha",NA,"kg/ha"
"3","Measurement","MeasResidueMgnt","Above G Biomass STD kg/ha","Biomass aboveground, plant tissue, StdDev, kilograms per hectare","kg biomass/ha"
"4","Measurement","MeasCropNutrientCycling","Above Ground Biomass STD",NA,"kg/ha"
"5","Measurement","MeasGrazingPlants","AboveGr Bio C kgC/ha","Carbon, aboveground live, plant tissue, mean or single measurement, kilograms of carbon per hectare","kg C/ha"
"6","Measurement","MeasGrazingPlants","AboveGr Bio C STD kgC/ha","Carbon, aboveground live, plant tissue, StdDev, kilograms of carbon per hectare","kg C/ha"
"7","Measurement","MeasGrazingPlants","AboveGr Bio kg/ha (dry)","Biomass, aboveground live, plant tissue, mean or single measurement, kilograms per hectare","kg/ha (dryweight)"
"8","Measurement","MeasGrazingPlants","AboveGr Bio N kgN/ha","Nitrogen, aboveground live, plant tissue, mean or single measurement, kilograms of nitrogen per hectare","kg N/ha"
"9","Measurement","MeasGrazingPlants","AboveGr Bio N STD kgN/ha","Nitrogen, aboveground live, plant tissue, StdDev, kilograms of nitrogen per hectare","kg N/ha"
"10","Measurement","MeasGrazingPlants","AboveGr Bio STD kg/ha (dry)","Biomass, aboveground live, plant tissue, StdDev, kilograms per hectare","kg/ha (dryweight)"
"11","Measurement","MeasBiomassCHO","Acid Det Fiber g/kg","Acid Detergent Fiber, plant tissue, grams per kilogram","g/kg"
"12","Measurement","MeasBiomassCHO","Acid Det Fiber STD g/kg","Acid Detergent Fiber, plant tissue, StdDev, grams per kilogram","g/kg"
"13","Measurement","MeasBiomassCHO","Acid Insoluble Lignin g/kg","Acid Insoluble Lignin, plant tissue, grams per kilogram","g/kg"
"14","Measurement","MeasBiomassCHO","Acid Insoluble Lignin STD g/kg","Acid Insoluble Lignin, plant tissue, StdDev, grams per kilogram","g/kg"
"15","Measurement","MeasSoilBiol","Acid Phosphatase mg/kg/hr","Acid_Phosphatase, soil, milligram ?-nitrophenol per kilogram soil per hour","mg ?-n per kg-1 soil h-0"
"16","Measurement","MeasSoilBiol","Acid Phosphatase STD mg/kg/hr","Acid_Phosphatase, soil, StdDev, milligram ?-nitrophenol per kilogram soil per hour","mg ?-n per kg-1 soil h-0"
"17","Measurement","MeasBiomassCHO","Acid Soluble Lignin g/kg","Acid Soluble Lignin, plant tissue, grams per kilogram","g/kg"
"18","Measurement","MeasBiomassCHO","Acid Soluble Lignin STD g/kg","Acid Soluble Lignin, plant tissue, StdDev, grams per kilogram","g/kg"
"19","Management","MgtAmendments","Active Ingredient Type","Pesticide type","none"
"20","Measurement","MeasSoilPhys","Aggregation %","Micro or Macroaggregation, percent","%"
"21","Measurement","MeasNutrEff","Agronomic Efficiency kg/kg","Agronomic efficiency, kilogram per kilogram","kg/kg"
"22","Measurement","MeasGHGFlux","Air Temp degC","Temperature, air, sample period, mean or single measurement, degrees Celsius","degrees Celsius"
"23","Measurement","MeasGHGFlux","Air Temp STD degC","Temperature, air, StdDev, degrees Celsius","degrees Celsius"
"24","Measurement","MeasBiomassMinAn","Al Concentration mg/kg","Al Concentration, plant tissue, milligrams per kilogram","mg/kg"
"25","Measurement","MeasBiomassMinAn","Al Concentration STD mg/kg","Al Concentration, plant tissue, StdDev, milligrams per kilogram","mg/kg"
"26","Measurement","MeasSoilBiol","Alk Phosphatase mg/kg/hr","Alkaline_Phosphatase, soil, milligram ?-nitrophenol per kilogram soil per hour","mg ?-n per kg-1 soil h-1"
"27","Measurement","MeasSoilBiol","Alk Phosphatase STD mg/kg/hr","Alkaline_Phosphatase, soil, StdDev, milligram ?-nitrophenol per kilogram soil per hour","mg ?-n per kg-1 soil h-1"
"28","Management","MgtAmendments","Amend Depth cm","Amendment depth, centimeters","cm"
"29","Management","MgtAmendments","Amend Placement","Amendment placement","none"
"30","Management","MgtAmendments","Amend Type","Amendment type","none"
"31","Background","Treatments","Animal (species)","Animal species","none"
"32","Management","MgtGrazing","Animal Class","Class list, animal type","none"
"33","Management","MgtGrazing","Animal Species","Species list, animal type","none"
"34","Measurement","MeasGrazingPlants","ANPP C kgC/ha/yr","Carbon, aboveground NPP, plant tissue, yearly, mean or single measurement, kilograms of carbon per hectare","kg C/ha/yr"
"35","Measurement","MeasGrazingPlants","ANPP C STD kgC/ha/yr","Carbon, aboveground NPP, plant tissue, yearly, StdDev, kilograms of carbon per hectare","kg C/ha/yr"
"36","Measurement","MeasGrazingPlants","ANPP N kgN/ha/yr","Nitrogen, aboveground NPP, plant tissue, yearly, mean or single measurement, kilograms of nitrogen per hectare","kg N/ha/yr"
"37","Measurement","MeasGrazingPlants","ANPP N STD kgN/ha/yr","Nitrogen, aboveground NPP, plant tissue, yearly, StdDev, kilograms of nitrogen per hectare","kg N/ha/yr"
"38","Measurement","MeasBiomassCHO","Arabinan g/kg","Arabinan, plant tissue, grams per kilogram","g/kg"
"39","Measurement","MeasBiomassCHO","Arabinan STD g/kg","Arabinan, plant tissue, StdDev, grams per kilogram","g/kg"
"40",NA,"Treatments","ARS Projects","ARS Projects","none"
"41","Measurement","MeasBiomassCHO","Ash g/kg","Ash, plant tissue, grams per kilogram","g/kg"
"42","Measurement","MeasBiomassCHO","Ash STD g/kg","Ash, plant tissue, StdDev, grams per kilogram","g/kg"
"43","Measurement","MeasBiomassEnergy","Ash STD g/kg","Mineral Matter, plant tissue, StdDev, StdDev, grams per kilogram dry matter","g/kg"
"44","Characterization","WeatherDaily","Atmos N Deposition kg/ha/d","Atmospheric nitrogen deposition, air, daily, kilograms per hectare","kg/ha/d"
"45","Background","Citations","Author","Author","none"
"46","Measurement","MeasBiomassMinAn","B Concentration mg/kg","B Concentration, plant tissue, milligrams per kilogram","mg/kg"
"47","Measurement","MeasBiomassMinAn","B Concentration STD mg/kg","B Concentration, plant tissue, StdDev, milligrams per kilogram","mg/kg"
"48","Characterization","WeatherDaily","Bad Value Flag","Bad value flag","integer"
"49","Measurement","MeasGrazingPlants","BelowGr Bio C kgC/ha","Carbon, belowground live, plant tissue, mean or single measurement, kilograms of carbon per hectare","kg C/ha"
"50","Measurement","MeasGrazingPlants","BelowGr Bio C STD kgC/ha","Carbon, belowground live, plant tissue, StdDev, kilograms of carbon per hectare","kg C/ha"
"51","Measurement","MeasGrazingPlants","BelowGr Bio N kgN/ha","Nitrogen, belowground live, plant tissue, mean or single measurement, kilograms of nitrogen per hectare","kg N/ha"
"52","Measurement","MeasGrazingPlants","BelowGr Bio N STD kgN/ha","Nitrogen, belowground live, plant tissue, StdDev, kilograms of nitrogen per hectare","kg N/ha"
"53","Measurement","MeasSoilChem","Beryllium-7 STD?Bq/kg","?Bq/kg","?Bq/kg"
"54","Measurement","MeasSoilChem","Beryllium-7?Bq/kg","?Bq/kg","?Bq/kg"
"55","Measurement","MeasGrazingPlants","Biomass N %","Nitrogen, biomass, plant tissue, mean or single measurement, percent","% (N mass/biomass mass*100)"
"56","Measurement","MeasGrazingPlants","Biomass N STD %","Nitrogen, biomass, plant tissue, StdDev, percent","% (N mass/biomass mass*100)"
"57","Measurement","MeasGrazingPlants","BNPP C kgC/ha/yr","Carbon, belowground NPP, plant tissue, yearly, mean or single measurement, kilograms of carbon per hectare","kg C/ha/yr"
"58","Measurement","MeasGrazingPlants","BNPP C STD kgC/ha/yr","Carbon, belowground NPP, plant tissue, yearly, StdDev, kilograms of carbon per hectare","kg C/ha/yr"
"59","Measurement","MeasGrazingPlants","BNPP N kgN/ha/yr","Nitrogen, belowground NPP, plant tissue, yearly, mean or single measurement, kilograms of nitrogen per hectare","kg N/ha/yr"
